,titulo,localizacion,latitude,longitude,price,energy_certification,room_number,bath_number,has_garden,has_terrace,has_parking,has_swimmingpool,has_lift,constructed_area,is_new_development,is_needs_renovating,is_goog_condition
58,Casa o chalet independiente en venta en CORTIJO MAZA,"Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.6463857,-4.5002249,639000,e,3,2,1.0,1.0,1.0,0.0,0.0,298,0,0,1
59,Chalet adosado en venta en calle Angola s/n,"Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6632566,-4.5192925000000015,330000,inProcess,3,4,1.0,1.0,1.0,1.0,0.0,239,0,0,1
61,Piso en venta en avenida ANDALUCIA,"San Francisco - El Chorrillo, Las Gabias",37.1311247,-3.6723631,54900,inProcess,1,1,0.0,0.0,1.0,0.0,1.0,53,0,0,1
62,"Casa o chalet independiente en venta en carril de Mestanza, 50","El Romeral-Peñón de Zapata, Alhaurín de la Torre",36.6955102,-4.5546675,425000,inProcess,4,3,1.0,1.0,1.0,1.0,0.0,230,0,0,1
63,Casa o chalet independiente en venta en Churriana-El Pizarrillo-La Noria-Guadalsol,"Churriana, Málaga",36.6656448,-4.472338,410000,e,8,4,1.0,1.0,1.0,0.0,0.0,210,0,0,1
64,Casa o chalet independiente en venta en Cortijo de Maza-Finca Monsalvez-El Olivar,"Churriana, Málaga",36.6495488,-4.4888463,895000,inProcess,4,4,1.0,1.0,1.0,1.0,0.0,500,0,0,1
65,Piso en venta en avenida de Velázquez,"Los Guindos - Parque Mediterráneo - Santa Paula, Málaga",36.6988581,-4.4476889,249900,unknown,2,1,0.0,1.0,0.0,0.0,1.0,80,0,0,1
66,Piso en venta en avenida de San Javier,"Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6648899,-4.4972496,249000,inProcess,3,2,1.0,1.0,0.0,1.0,1.0,106,0,0,1
67,Piso en venta en Churriana-El Pizarrillo-La Noria-Guadalsol,"Churriana, Málaga",36.6652929,-4.4998666,223000,e,3,2,1.0,1.0,1.0,1.0,1.0,102,0,0,1
68,Chalet adosado en venta en Churriana-El Pizarrillo-La Noria-Guadalsol,"Churriana, Málaga",36.6723596,-4.5069099,235000,inProcess,3,2,1.0,1.0,1.0,1.0,0.0,120,0,0,1
69,"Chalet adosado en venta en calle Alberto Peláez Domínguez, 16","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6656226,-4.4995242,298000,e,4,2,0.0,1.0,1.0,1.0,0.0,231,0,0,1
70,Piso en venta en La Luz,"Carretera de Cádiz, Málaga",36.69337,-4.45395,139900,e,3,1,0.0,0.0,0.0,0.0,1.0,76,0,0,1
71,Chalet adosado en venta en calle Portales del Popo,"Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6722374,-4.5054086,172000,unknown,2,2,0.0,1.0,0.0,0.0,0.0,86,0,0,1
73,Piso en venta en avenida de velazquez,"Girón - Las Delicias - Pacífico, Málaga",36.6983376,-4.445587799999998,180000,inProcess,2,1,0.0,0.0,0.0,0.0,1.0,75,0,0,1
75,Chalet adosado en venta en Churriana-El Pizarrillo-La Noria-Guadalsol,"Churriana, Málaga",36.672398,-4.506826599999999,318500,g,4,2,1.0,1.0,1.0,1.0,0.0,180,0,0,1
76,Piso en venta en avenida de Velázquez,"Girón - Las Delicias - Pacífico, Málaga",36.6991275,-4.4459164000000015,160000,inProcess,3,1,0.0,0.0,0.0,0.0,1.0,80,0,0,1
77,Chalet adosado en venta en calle del Escritor Béjar Zambrana,"Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6594796,-4.4953536,370000,c,3,3,1.0,1.0,1.0,1.0,0.0,198,0,0,1
78,"Chalet adosado en venta en calle Maestro Vicente Lleó, 10","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6643215,-4.5000073,205000,e,3,1,0.0,1.0,1.0,0.0,0.0,67,0,1,0
79,"Ático en venta en calle Tanzania, 3","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6620559,-4.5186553,350000,unknown,3,2,1.0,1.0,1.0,1.0,1.0,123,0,0,1
80,"Casa o chalet independiente en venta en camino de la Sierra, 64","Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.654312,-4.511710400000001,640000,unknown,4,5,1.0,1.0,1.0,1.0,0.0,300,0,0,1
81,Piso en venta en calle Heliomar,"Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6607864,-4.503071,157500,inProcess,3,1,1.0,1.0,0.0,1.0,1.0,68,0,0,1
82,Casa o chalet independiente en venta en camino Agropecuario de Realenga,"Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.6524475,-4.490088,725000,inProcess,5,3,1.0,1.0,1.0,0.0,0.0,278,0,0,1
83,Chalet adosado en venta en Churriana-El Pizarrillo-La Noria-Guadalsol,"Churriana, Málaga",36.6626183,-4.5026068,299000,e,3,2,0.0,1.0,1.0,0.0,0.0,150,0,0,1
84,Ático en venta en calle Acacias de Guadalmar,"Guadalmar, Málaga",36.6631287,-4.4561357,430000,a,3,2,0.0,1.0,1.0,0.0,1.0,160,0,0,1
85,Piso en venta en La Luz,"Carretera de Cádiz, Málaga",36.69729210000001,-4.451121400000001,162000,unknown,3,1,0.0,1.0,0.0,0.0,1.0,74,0,0,1
86,"Chalet adosado en venta en pasaje Mari-Gaila, 8","Guadalmar, Málaga",36.6676778,-4.4653004,395000,unknown,4,3,1.0,1.0,1.0,1.0,0.0,194,0,0,1
87,"Casa o chalet independiente en venta en carretera Coín, 29","Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.659266,-4.4937989,860000,unknown,5,2,1.0,1.0,1.0,0.0,0.0,223,0,0,1
88,Casa o chalet independiente en venta en calle del Escritor Béjar Zambrana,"Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.66187410000001,-4.495526,360000,c,4,3,1.0,1.0,1.0,1.0,0.0,220,0,0,1
90,Casa o chalet independiente en venta en Cortijo de Maza-Finca Monsalvez-El Olivar,"Churriana, Málaga",36.652233,-4.49582,639000,e,3,2,1.0,1.0,1.0,0.0,0.0,298,0,0,1
92,"Casa o chalet independiente en venta en Urb. churriana centro, Churriana-El Pizarrillo-La Noria-Guadalsol","Churriana, Málaga",36.66531129999999,-4.5052488,173000,unknown,2,1,0.0,1.0,0.0,0.0,0.0,91,0,0,1
93,Casa o chalet independiente en venta en Churriana-El Pizarrillo-La Noria-Guadalsol,"Churriana, Málaga",36.6604195,-4.5190936,640000,inProcess,4,2,1.0,1.0,1.0,1.0,0.0,250,0,0,1
94,"Dúplex en venta en calle Merlo, 27","Cruz del Humilladero - Los Tilos, Málaga",36.7143969,-4.4393075,340000,inProcess,3,2,0.0,1.0,1.0,0.0,1.0,76,0,0,1
95,"Chalet adosado en venta en calle Malasia, 37","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.67104000000001,-4.5181699,359000,c,4,3,1.0,1.0,1.0,0.0,0.0,190,0,0,1
96,Casa o chalet independiente en venta en Cañada de Ceuta s/n,"Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.6470284,-4.508243299999998,700000,e,3,2,1.0,1.0,1.0,1.0,0.0,455,0,0,1
97,"Chalet adosado en venta en calle del Escritor Béjar Zambrana, 3","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6611221,-4.4958917000000005,360000,a,4,3,1.0,1.0,1.0,1.0,0.0,220,0,0,1
98,"Casa o chalet independiente en venta en avenida Asunción, 3","Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.6538028,-4.493043900000001,700000,unknown,5,3,1.0,1.0,1.0,1.0,0.0,270,0,0,1
99,"Chalet adosado en venta en calle Árbol Blanco, 55","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.667023,-4.5010688,255000,e,3,2,0.0,1.0,1.0,0.0,0.0,178,0,1,0
100,"Chalet pareado en venta en Urb. adelfamar , Churriana-El Pizarrillo-La Noria-Guadalsol","Churriana, Málaga",36.6713789,-4.5070138,310000,unknown,3,3,0.0,1.0,1.0,0.0,0.0,251,0,0,1
101,"Piso en venta en avenida de San Javier, 67","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6633929,-4.4986666,240000,g,2,1,1.0,1.0,1.0,1.0,1.0,109,0,0,1
102,"Casa o chalet independiente en venta en calle Avempace, 10","Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.6485811,-4.5021544,270000,a,3,2,1.0,1.0,1.0,1.0,0.0,100,0,0,1
103,"Piso en venta en calle Heliomar, 1","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.66124600000001,-4.5010769,190000,unknown,3,1,1.0,1.0,0.0,1.0,1.0,77,0,0,1
105,"Piso en venta en Urb. PRIVADA, La Luz","Carretera de Cádiz, Málaga",36.6939299,-4.4588624,260000,d,3,1,1.0,0.0,1.0,0.0,1.0,114,0,0,1
106,"Piso en venta en calle Decano Joaquín Wuester, 3","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6658835,-4.4731468,215000,f,3,2,0.0,1.0,1.0,0.0,1.0,85,0,0,1
107,Casa o chalet independiente en venta en calle Diputado Ignacio Huelin,"Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.65200520000001,-4.498312599999998,449900,inProcess,4,3,0.0,0.0,0.0,0.0,0.0,250,0,0,1
108,"Chalet pareado en venta en CL ESTACIÓN, 20","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6678521,-4.5026877,85000,inProcess,2,1,0.0,0.0,0.0,0.0,0.0,55,0,1,0
109,Chalet adosado en venta en calle ALBERTO PELÁEZ DOMÍNGUEZ,"Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6674941,-4.4980792,298000,inProcess,4,2,0.0,0.0,1.0,1.0,0.0,231,0,0,1
110,"Piso en venta en calle Mercedes Formica, 12","Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.6598242,-4.5041845,291800,g,3,2,1.0,1.0,1.0,1.0,1.0,159,0,0,1
111,Piso en venta en calle Hespérides s/n,"Guadalmar, Málaga",36.6634751,-4.4611374,262181,e,2,1,1.0,1.0,0.0,1.0,1.0,102,0,0,1
112,"Ático en venta en calle Bangladesh, 25","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.67119,-4.5169,255900,unknown,2,2,0.0,1.0,1.0,1.0,1.0,149,1,0,0
113,"Piso en venta en calle Bangladesh, 25","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.67119,-4.5169,265900,unknown,3,2,0.0,1.0,1.0,1.0,1.0,119,1,0,0
114,"Piso en venta en calle Bangladesh, 25","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.67119,-4.5169,255900,unknown,3,2,0.0,1.0,1.0,1.0,1.0,165,1,0,0
115,"Piso en venta en calle Bangladesh, 25","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.67119,-4.5169,265900,unknown,3,2,0.0,1.0,1.0,1.0,1.0,113,1,0,0
116,"Chalet adosado en venta en calle Avempace, 10","Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.6487253,-4.5018207000000015,182100,g,2,1,0.0,1.0,0.0,0.0,0.0,83,0,0,1
117,"Piso en venta en calle Mercedes Formica, 12","Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.6598242,-4.5041845,291800,g,3,2,1.0,1.0,1.0,1.0,1.0,159,0,0,1
118,Chalet adosado en venta en calle Avempace,"Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.6499253,-4.5013207,182100,g,2,1,1.0,1.0,0.0,0.0,0.0,83,0,0,1
119,Chalet adosado en venta en calle Josefa Morales,"Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.66925560000001,-4.5108488,256500,g,4,2,0.0,1.0,0.0,0.0,0.0,153,0,0,1
121,"Casa o chalet independiente en venta en avenida Ricardo Gross, 12","Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.6530063,-4.4933191,750000,d,4,3,1.0,1.0,1.0,1.0,0.0,551,0,0,1
122,"Chalet adosado en venta en calle Avempace, 10","Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.6487253,-4.5018207000000015,182100,e,3,1,0.0,1.0,1.0,0.0,0.0,83,0,0,1
124,"Piso en venta en calle Mercedes Formica, 12","Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.6598242,-4.5041845,297100,e,3,2,1.0,1.0,1.0,1.0,1.0,116,0,0,1
125,"Piso en venta en calle Mercedes Formica, 12","Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.6598242,-4.5041845,291800,e,3,2,1.0,1.0,1.0,1.0,1.0,118,0,0,1
126,"Piso en venta en calle Mercedes Formica, 12","Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.6598242,-4.5041845,297100,e,3,2,1.0,1.0,1.0,1.0,1.0,156,0,0,1
127,"Piso en venta en calle Hespérides, 17","Guadalmar, Málaga",36.6637115,-4.4612152,262181,e,1,1,1.0,0.0,0.0,1.0,1.0,108,0,0,1
129,Chalet adosado en venta en calle Josefa Morales,"Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6731556,-4.5081488,256500,g,4,2,0.0,1.0,0.0,0.0,0.0,153,0,0,1
130,"Piso en venta en calle La Gioconda, 32","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6657797,-4.5058803,252000,unknown,2,2,0.0,1.0,1.0,1.0,1.0,104,1,0,0
131,"Piso en venta en calle La Gioconda, 32","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6657797,-4.5058803,215000,unknown,2,2,0.0,1.0,1.0,1.0,1.0,84,1,0,0
132,"Piso en venta en calle La Gioconda, 32","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6657797,-4.5058803,225000,unknown,2,2,0.0,1.0,1.0,1.0,1.0,82,1,0,0
133,"Piso en venta en calle La Gioconda, 32","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6657797,-4.5058803,275000,unknown,3,2,0.0,1.0,1.0,1.0,1.0,107,1,0,0
134,"Ático en venta en calle La Gioconda, 32","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6657797,-4.5058803,358000,unknown,3,2,0.0,1.0,1.0,1.0,1.0,111,1,0,0
136,Chalet adosado en venta en avenida de China s/n,"Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6719544,-4.5160087,355000,unknown,4,3,1.0,1.0,1.0,1.0,0.0,250,1,0,0
137,Chalet adosado en venta en avenida de China s/n,"Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6719544,-4.5160087,335000,unknown,4,3,1.0,1.0,1.0,1.0,0.0,235,1,0,0
138,Chalet adosado en venta en avenida de China s/n,"Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6719544,-4.5160087,345000,unknown,4,3,1.0,1.0,1.0,1.0,0.0,235,1,0,0
139,Chalet adosado en venta en avenida de China s/n,"Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6719544,-4.5160087,362000,unknown,4,3,1.0,1.0,1.0,1.0,0.0,250,1,0,0
140,"Ático en venta en calle Bangladesh, 25","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.67119,-4.5169,375900,unknown,4,2,0.0,1.0,1.0,1.0,1.0,248,1,0,0
141,Piso en venta en Hesperides,"Guadalmar, Málaga",36.6639614,-4.4614042000000005,299000,inProcess,3,2,1.0,1.0,1.0,1.0,1.0,95,0,0,1
142,"Ático en venta en calle Decano López Arjona, 33","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6732957,-4.5112724,189500,unknown,2,1,0.0,1.0,0.0,0.0,0.0,150,1,0,0
143,Casa o chalet en venta en Churriana-El Pizarrillo-La Noria-Guadalsol,"Churriana, Málaga",36.6632593,-4.5028602,264500,inProcess,3,3,0.0,0.0,1.0,0.0,0.0,200,0,0,1
144,"Piso en venta en calle La Gioconda, 32","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6657797,-4.5058803,257000,unknown,3,2,0.0,1.0,1.0,1.0,1.0,103,1,0,0
145,"Piso en venta en calle La Gioconda, 32","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6657797,-4.5058803,258000,unknown,2,2,0.0,1.0,1.0,1.0,1.0,83,1,0,0
