latitude,longitude,price,energy_certification,room_number,bath_number,has_garden,has_terrace,has_parking,has_swimmingpool,has_lift,constructed_area,is_new_development,is_needs_renovating,is_goog_condition,Price_predict,Var_Prices,%_rentabilidad
0.1046336771377554,0.21226462639113386,395000,0.875,0.42857142857142855,0.5,1.0,1.0,1.0,1.0,0.0,0.22085889570552147,0.0,0.0,1.0,465285.7199231451,70285.71992314508,17.79385314510002
0.09917052371299917,0.17462562057556497,640000,0.875,0.42857142857142855,0.25,1.0,1.0,1.0,1.0,0.0,0.39877300613496935,0.0,0.0,1.0,528456.0753773302,-111543.92462266982,-17.428738222292157
0.08639627822087448,0.1755512491438882,567000,0.875,0.5714285714285714,0.75,1.0,1.0,0.0,1.0,0.0,0.5521472392638037,0.0,0.0,1.0,656170.2176872888,89170.21768728876,15.726669786117947
0.11315246092686948,0.16217912300761395,375900,1.0,0.42857142857142855,0.25,1.0,1.0,1.0,1.0,1.0,0.2852760736196319,1.0,0.0,0.0,436368.6925799025,60468.692579902476,16.08637738225658
0.11315246092686948,0.16217912300761395,249900,1.0,0.14285714285714285,0.25,0.0,1.0,1.0,1.0,1.0,0.15337423312883436,1.0,0.0,0.0,266085.81869713624,16185.818697136245,6.476918246152959
0.11315246092686948,0.16217912300761395,230900,1.0,0.14285714285714285,0.25,0.0,1.0,1.0,1.0,1.0,0.07515337423312884,1.0,0.0,0.0,213935.9178775471,-16964.082122452906,-7.346938987636599
0.07541457438553323,0.18413595157632123,795000,0.25,0.2857142857142857,0.75,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,976336.7397433054,181336.73974330537,22.809652797900046
0.11172505278153722,0.1715586982044046,235000,0.5,0.2857142857142857,0.25,0.0,0.0,1.0,1.0,0.0,0.15184049079754602,0.0,0.0,1.0,272781.78450687544,37781.78450687544,16.077355109308698
0.08160799483310655,0.18771967525465527,690000,0.875,0.5714285714285714,0.75,1.0,1.0,1.0,1.0,0.0,0.9187116564417178,0.0,0.0,1.0,972955.9207771986,282955.9207771986,41.00810446046357
0.09112860316686522,0.18200145401219814,371000,0.875,0.2857142857142857,0.5,0.0,1.0,1.0,1.0,0.0,0.15644171779141106,0.0,0.0,1.0,347039.55521060206,-23960.444789397938,-6.45834091358435
0.11006108453450736,0.2136047297992567,395000,0.375,0.42857142857142855,0.5,1.0,1.0,1.0,1.0,0.0,0.15644171779141106,0.0,0.0,1.0,405511.4105720027,10511.4105720027,2.661116600507013
0.08620426029021644,0.11132612325792479,595000,0.875,0.5714285714285714,0.5,1.0,1.0,1.0,1.0,0.0,0.44171779141104295,0.0,0.0,1.0,538411.029367296,-56588.970632703975,-9.510751366841005
0.07847319918153062,0.18541077280413276,995000,0.0,0.42857142857142855,0.75,1.0,1.0,1.0,1.0,0.0,0.32975460122699385,0.0,0.0,1.0,534508.4958283773,-460491.5041716227,-46.28055318307766
0.07781142978309674,0.18679002637610687,625000,0.375,0.42857142857142855,0.5,1.0,1.0,1.0,0.0,0.0,0.3803680981595092,0.0,0.0,1.0,584398.2547771772,-40601.74522282276,-6.496279235651642
0.09729956537694306,0.17758705766416938,450000,0.75,0.8571428571428572,0.5,1.0,1.0,1.0,1.0,1.0,0.12730061349693253,0.0,0.0,1.0,456188.42517228145,6188.4251722814515,1.3752055938403225
0.11327523262522732,0.16988586626438007,256500,0.375,0.2857142857142857,0.0,0.0,1.0,0.0,0.0,0.0,0.19785276073619634,0.0,0.0,1.0,257415.76521796174,915.7652179617435,0.35702347678820406
0.09557477273666848,0.16581606793558468,422500,1.0,0.5714285714285714,0.5,0.0,0.0,0.0,1.0,0.0,0.3174846625766871,0.0,0.0,1.0,427316.994994646,4816.9949946459965,1.1401171584960939
0.11327523262522732,0.16988586626438007,256500,0.5,0.42857142857142855,0.25,0.0,1.0,0.0,0.0,0.0,0.1579754601226994,0.0,1.0,0.0,290442.93708316056,33942.93708316056,13.233113872577217
0.0918811412752234,0.17435061221188342,291800,0.5,0.2857142857142857,0.25,1.0,1.0,1.0,1.0,1.0,0.10122699386503067,0.0,0.0,1.0,312244.9718127911,20444.971812791075,7.00650164934581
0.09843314491494937,0.17980942772319786,235000,0.5,0.2857142857142857,0.25,1.0,1.0,1.0,1.0,1.0,0.07975460122699388,0.0,0.0,1.0,296178.6640782555,61178.664078255475,26.03347407585339
0.0992377112735312,0.21566063987066197,262181,0.5,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,1.0,0.08128834355828221,0.0,0.0,1.0,232122.57180185278,-30058.428198147216,-11.464762205555406
0.08766348427202786,0.1758075917815285,567000,0.875,0.5714285714285714,0.75,1.0,1.0,0.0,1.0,0.0,0.5521472392638037,0.0,0.0,1.0,654841.1513224249,87841.15132242488,15.492266547164881
0.16091720190571834,0.22625205143508342,273100,0.25,0.2857142857142857,0.25,0.0,1.0,1.0,1.0,1.0,0.07822085889570551,1.0,0.0,0.0,243136.27607775215,-29963.723922247853,-10.971704109208295
0.16091720190571834,0.22625205143508342,246300,0.25,0.14285714285714285,0.25,0.0,1.0,1.0,1.0,1.0,0.05061349693251535,1.0,0.0,0.0,197739.59287990507,-48560.407120094926,-19.715959041857463
0.10848657493349378,0.16693141685783264,320000,1.0,0.42857142857142855,0.25,0.0,1.0,1.0,1.0,0.0,0.1687116564417178,0.0,0.0,1.0,327931.9633488191,7931.9633488191175,2.478738546505974
