,titulo,localizacion,latitude,longitude,price,energy_certification,basic_characteristics,room_number,bath_number,has_garden,has_terrace,has_parking,has_swimmingpool,has_lift,constructed_area,is_new_development,is_needs_renovating,is_goog_condition
84,Casa o chalet independiente en venta en Centro,Alhaurín de la Torre,36.662978,-4.5631133,199900,g,"{'roomNumber': '4', 'bathNumber': '3', 'hasParking': '0', 'hasGarden': '0', 'hasSwimmingPool': '0', 'hasTerrace': '0', 'constructedArea': '137'}",4,3,0,0,0,0,,137,0,0,1
85,"Chalet pareado en venta en calle de los Cooperantes, 12","Manantiales - Lagar - Cortijo, Alhaurín de la Torre",36.6562038,-4.5424788,389990,inProcess,"{'roomNumber': '4', 'bathNumber': '3', 'hasParking': '1', 'hasGarden': '0', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '213'}",4,3,0,1,1,1,,213,0,0,1
86,Casa o chalet independiente en venta en cuesta del palmar,"Alquería-Torrealquería, Alhaurín de la Torre",36.6706556,-4.6066308,845000,e,"{'roomNumber': '8', 'bathNumber': '5', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '300'}",8,5,1,1,1,1,,300,0,0,1
87,Casa rural en venta en Palo verde s/n,"Pinos de Alhaurín, Alhaurín de la Torre",36.666318,-4.5870779,620000,d,"{'roomNumber': '3', 'bathNumber': '3', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '240'}",3,3,1,1,1,1,,240,0,0,1
88,Chalet adosado en venta en Lauro golf 3 s/n,"Buenavista-Lauro Golf, Alhaurín de la Torre",36.651329,-4.6307769,349990,e,"{'roomNumber': '3', 'bathNumber': '3', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '207'}",3,3,1,1,1,1,,207,0,0,1
89,Chalet adosado en venta en calle Maestro Rafael de León s/n,"Pinos de Alhaurín, Alhaurín de la Torre",36.6645614,-4.5854276,385000,unknown,"{'roomNumber': '3', 'bathNumber': '3', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '131'}",3,3,1,1,1,1,,131,1,0,0
90,Chalet adosado en venta en calle Maestro Rafael de León s/n,"Pinos de Alhaurín, Alhaurín de la Torre",36.6645614,-4.5854276,435000,unknown,"{'roomNumber': '4', 'bathNumber': '3', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '163'}",4,3,1,1,1,1,,163,1,0,0
91,"Chalet adosado en venta en avenida Mar de Coral, 16","Jardines de Alhaurín-Huerta Alta-Fuensanguínea, Alhaurín de la Torre",36.6550083,-4.5636213,402000,d,"{'roomNumber': '3', 'bathNumber': '3', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '165'}",3,3,1,1,1,1,,165,0,0,1
92,Casa o chalet independiente en venta en Capellanía - Retamar,Alhaurín de la Torre,36.6636582,-4.5577218,595000,inProcess,"{'roomNumber': '5', 'bathNumber': '4', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '267'}",5,4,1,1,1,1,,267,0,0,1
93,Casa o chalet independiente en venta en calle Manzanilla,"Manantiales - Lagar - Cortijo, Alhaurín de la Torre",36.6579494,-4.5334056,745000,d,"{'roomNumber': '4', 'bathNumber': '3', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'constructedArea': '400'}",4,3,1,,1,1,,400,0,0,1
94,Casa o chalet independiente en venta en Partida Dehesilla,"Buenavista-Lauro Golf, Alhaurín de la Torre",36.6613324,-4.6321315,870000,d,"{'roomNumber': '7', 'bathNumber': '5', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '400'}",7,5,1,1,1,1,,400,0,0,1
95,Casa o chalet independiente en venta en Buenavista-Lauro Golf,Alhaurín de la Torre,36.6580343,-4.6070015,575000,e,"{'roomNumber': '5', 'bathNumber': '2', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '300'}",5,2,1,1,1,1,,300,0,0,1
96,Finca rústica en venta en Gaucín,"Pinos de Alhaurín, Alhaurín de la Torre",36.6421814,-4.5869055,550000,c,"{'roomNumber': '9', 'bathNumber': '5', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '409'}",9,5,1,1,1,1,,409,0,0,1
97,Chalet pareado en venta en Manantiales - Lagar - Cortijo,Alhaurín de la Torre,36.6526042,-4.5437939,394990,g,"{'roomNumber': '3', 'bathNumber': '3', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '257'}",3,3,1,1,1,1,,257,0,0,1
98,Chalet adosado en venta en Pinos de Alhaurín,Alhaurín de la Torre,36.6664524,-4.5860651,342000,unknown,"{'roomNumber': '3', 'bathNumber': '2', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '150'}",3,2,1,1,1,1,,150,0,0,1
99,"Casa o chalet independiente en venta en Urb. PINOS DE ALHAURÍN, Pinos de Alhaurín",Alhaurín de la Torre,36.6543387,-4.5800775,525000,inProcess,"{'roomNumber': '4', 'bathNumber': '3', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '0', 'hasTerrace': '1', 'constructedArea': '140'}",4,3,1,1,1,0,,140,0,0,1
100,Casa o chalet independiente en venta en El Romeral-Peñón de Zapata,Alhaurín de la Torre,36.6821006,-4.5389392,735000,inProcess,"{'roomNumber': '4', 'bathNumber': '4', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'constructedArea': '240'}",4,4,1,,1,1,,240,0,0,1
101,"Casa o chalet independiente en venta en Urb. PLATERO II, Platero - El Limón",Alhaurín de la Torre,36.6568909,-4.5716259,595000,inProcess,"{'roomNumber': '5', 'bathNumber': '3', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '400'}",5,3,1,1,1,1,,400,0,0,1
102,"Finca rústica en venta en Urb. EL ROMERAL, El Romeral-Peñón de Zapata",Alhaurín de la Torre,36.6814281,-4.5676163,514500,inProcess,"{'roomNumber': '5', 'bathNumber': '2', 'hasGarden': '1', 'hasSwimmingPool': '1', 'constructedArea': '200'}",5,2,1,,,1,,200,0,1,0
103,Casa o chalet independiente en venta en calle Pablo Ruiz Picasso,"Pinos de Alhaurín, Alhaurín de la Torre",36.6556027,-4.5760155,270000,c,"{'roomNumber': '2', 'bathNumber': '1', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '72'}",2,1,1,1,1,1,,72,0,1,0
104,"Chalet pareado en venta en Urb. CAPELLANIA, Capellanía - Retamar",Alhaurín de la Torre,36.6650195,-4.5448926,584000,inProcess,"{'roomNumber': '3', 'bathNumber': '4', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '194'}",3,4,1,1,,1,,194,0,0,1
105,"Casa o chalet independiente en venta en Urb. SANTA AMALIA, El Romeral-Peñón de Zapata",Alhaurín de la Torre,36.702696,-4.5725509,510000,inProcess,"{'roomNumber': '5', 'bathNumber': '3', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '280'}",5,3,1,1,1,1,,280,0,0,1
106,Finca rústica en venta en Pinos de Alhaurín,Alhaurín de la Torre,36.6597396,-4.5822228,210000,inProcess,"{'roomNumber': '1', 'bathNumber': '1', 'hasParking': '0', 'hasGarden': '1', 'hasSwimmingPool': '1', 'constructedArea': '65'}",1,1,1,,0,1,,65,0,0,1
107,Casa o chalet independiente en venta en Manantiales - Lagar - Cortijo,Alhaurín de la Torre,36.6592025,-4.5357843,494500,inProcess,"{'roomNumber': '4', 'bathNumber': '4', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '190'}",4,4,1,1,1,1,,190,0,0,1
108,"Casa o chalet independiente en venta en Urb. MANANTIALES, Manantiales - Lagar - Cortijo",Alhaurín de la Torre,36.6581663,-4.5533187,577500,inProcess,"{'roomNumber': '4', 'bathNumber': '2', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '276'}",4,2,1,1,1,1,,276,0,0,1
109,Chalet adosado en venta en Capellanía - Retamar,Alhaurín de la Torre,36.6642644,-4.5523554,320000,inProcess,"{'roomNumber': '5', 'bathNumber': '2', 'hasParking': '1', 'hasGarden': '1', 'hasTerrace': '1', 'constructedArea': '219'}",5,2,1,1,1,,,219,0,0,1
110,Casa o chalet independiente en venta en El Romeral-Peñón de Zapata,Alhaurín de la Torre,36.685447,-4.5702855,650000,unknown,"{'roomNumber': '5', 'bathNumber': '4', 'hasParking': '0', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '415'}",5,4,1,1,0,1,,415,0,0,1
111,"Casa o chalet independiente en venta en Urb. El Romeral, El Romeral-Peñón de Zapata",Alhaurín de la Torre,36.6853944,-4.5715366,495000,inProcess,"{'roomNumber': '4', 'bathNumber': '3', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '275'}",4,3,1,1,1,1,,275,0,0,1
112,Casa o chalet independiente en venta en Manantiales - Lagar - Cortijo,Alhaurín de la Torre,36.6606214,-4.5406375,550000,e,"{'roomNumber': '3', 'bathNumber': '2', 'hasParking': '1', 'hasGarden': '1', 'hasTerrace': '1', 'constructedArea': '311'}",3,2,1,1,1,,,311,0,0,1
113,Chalet adosado en venta en calle Santa Magdalena s/n,"Capellanía - Retamar, Alhaurín de la Torre",36.6703264,-4.5336343,299000,inProcess,"{'roomNumber': '3', 'bathNumber': '3', 'hasParking': '0', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '155'}",3,3,1,1,0,1,,155,0,0,1
114,"Casa o chalet independiente en venta en calle Torreón, 90","Manantiales - Lagar - Cortijo, Alhaurín de la Torre",36.6569297,-4.5386323,820000,c,"{'roomNumber': '5', 'bathNumber': '3', 'hasParking': '1', 'hasGarden': '0', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '400'}",5,3,0,1,1,1,,400,0,0,1
115,Chalet adosado en venta en Centro,Alhaurín de la Torre,36.6656809,-4.5614543,308000,inProcess,"{'roomNumber': '5', 'bathNumber': '2', 'hasParking': '1', 'hasTerrace': '1', 'constructedArea': '90'}",5,2,,1,1,,,90,0,0,1
116,Casa o chalet independiente en venta en El Romeral-Peñón de Zapata,Alhaurín de la Torre,36.7048916,-4.5754285,418900,inProcess,"{'roomNumber': '8', 'bathNumber': '5', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '300'}",8,5,1,1,1,1,,300,0,0,1
117,Casa o chalet independiente en venta en Capellanía - Retamar,Alhaurín de la Torre,36.6628303,-4.5387017,882000,inProcess,"{'roomNumber': '10', 'bathNumber': '6', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '450'}",10,6,1,1,1,1,,450,0,0,1
118,Casa o chalet independiente en venta en Jardines de Alhaurín-Huerta Alta-Fuensanguínea,Alhaurín de la Torre,36.6607945,-4.5604636,2652000,inProcess,"{'roomNumber': '8', 'bathNumber': '8', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '2500'}",8,8,1,1,1,1,,2500,0,0,1
119,Casa o chalet independiente en venta en Jardines de Alhaurín-Huerta Alta-Fuensanguínea,Alhaurín de la Torre,36.6600975,-4.5580727,450000,inProcess,"{'roomNumber': '7', 'bathNumber': '3', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '290'}",7,3,1,1,1,1,,290,0,0,1
120,Piso en venta en plaza SAN SEBASTIAN,"Centro, Alhaurín de la Torre",36.6633981,-4.560614,180300,inProcess,"{'roomNumber': '2', 'bathNumber': '1', 'hasLift': '1', 'constructedArea': '55'}",2,1,,,,,1,55,0,0,1
121,Casa o chalet independiente en venta en El Romeral-Peñón de Zapata,Alhaurín de la Torre,36.7025115,-4.5771539,340000,inProcess,"{'roomNumber': '2', 'bathNumber': '2', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '120'}",2,2,1,1,1,1,,120,0,0,1
122,Casa o chalet independiente en venta en Buenavista-Lauro Golf,Alhaurín de la Torre,36.6532975,-4.6098018,600000,inProcess,"{'roomNumber': '7', 'bathNumber': '9', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '867'}",7,9,1,1,1,1,,867,0,0,1
123,Casa o chalet independiente en venta en calle Algarrobo,"Pinos de Alhaurín, Alhaurín de la Torre",36.6520267,-4.5860998,294000,inProcess,"{'roomNumber': '2', 'bathNumber': '1', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '115'}",2,1,1,1,1,1,,115,0,1,0
124,"Casa o chalet independiente en venta en Partida Alqueria, 339","Alquería-Torrealquería, Alhaurín de la Torre",36.6657499,-4.6267906,1060500,f,"{'roomNumber': '6', 'bathNumber': '5', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '254'}",6,5,1,1,,1,,254,0,0,1
125,"Chalet pareado en venta en calle el Pozo, 98","Manantiales - Lagar - Cortijo, Alhaurín de la Torre",36.656359,-4.5404695,480000,f,"{'roomNumber': '5', 'bathNumber': '2', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '300'}",5,2,1,1,1,1,,300,0,0,1
126,Casa o chalet independiente en venta en Fuensanguinea,"Centro, Alhaurín de la Torre",36.6590846,-4.5596361,618000,c,"{'roomNumber': '4', 'bathNumber': '3', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '250'}",4,3,1,1,1,1,,250,0,0,1
127,Casa o chalet independiente en venta en Santa Clara,"Capellanía - Retamar, Alhaurín de la Torre",36.6674274,-4.5306185,487000,e,"{'roomNumber': '4', 'bathNumber': '3', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '205'}",4,3,1,1,1,1,,205,0,0,1
128,Chalet adosado en venta en Jardines de Alhaurín-Huerta Alta-Fuensanguínea,Alhaurín de la Torre,36.655905,-4.5643037,295000,d,"{'roomNumber': '3', 'bathNumber': '2', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '98'}",3,2,1,1,,1,,98,0,0,1
129,"Casa o chalet independiente en venta en C. Marbella, 1226, 29130 Pinos de Alhaurín, Málaga s/n","Pinos de Alhaurín, Alhaurín de la Torre",36.6494272,-4.5782788,450000,f,"{'roomNumber': '6', 'bathNumber': '2', 'hasSwimmingPool': '1', 'constructedArea': '243'}",6,2,,,,1,,243,0,0,1
130,Casa o chalet independiente en venta en camino de la granja s/n,"El Romeral-Peñón de Zapata, Alhaurín de la Torre",36.6805845,-4.5682286,520000,f,"{'roomNumber': '4', 'bathNumber': '3', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '275'}",4,3,1,1,1,1,,275,0,0,1
131,Casa o chalet independiente en venta en pinos de alhaurin s/n,"Pinos de Alhaurín, Alhaurín de la Torre",36.648138,-4.585659,800000,inProcess,"{'roomNumber': '4', 'bathNumber': '3', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '300'}",4,3,1,1,1,1,,300,0,0,1
132,Casa o chalet independiente en venta en Capellanía - Retamar,Alhaurín de la Torre,36.6649421,-4.548827,584000,e,"{'roomNumber': '3', 'bathNumber': '4', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '200'}",3,4,1,1,1,1,,200,0,0,1
133,Casa o chalet independiente en venta en Capellanía - Retamar,Alhaurín de la Torre,36.6620083,-4.5406071,575000,e,"{'roomNumber': '5', 'bathNumber': '4', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '350'}",5,4,1,1,1,1,,350,0,0,1
134,Casa o chalet en venta en Manantiales - Lagar - Cortijo,Alhaurín de la Torre,36.6578625,-4.5334644,520000,e,"{'roomNumber': '5', 'bathNumber': '4', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '370'}",5,4,1,1,1,1,,370,0,0,1
135,Casa o chalet independiente en venta en El Romeral-Peñón de Zapata,Alhaurín de la Torre,36.6856587,-4.570257,495000,unknown,"{'roomNumber': '4', 'bathNumber': '3', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '275'}",4,3,1,1,1,1,,275,0,0,1
136,"Casa o chalet independiente en venta en Urb. Cortijos del Sol, Manantiales - Lagar - Cortijo",Alhaurín de la Torre,36.6587733,-4.5422211,900000,a,"{'roomNumber': '4', 'bathNumber': '4', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '508'}",4,4,1,1,1,1,,508,0,0,1
137,Casa o chalet independiente en venta en Las Lomas - Las Torres - Terrazas de Alhaurín,Alhaurín el Grande,36.63066,-4.69844,1150000,unknown,"{'roomNumber': '4', 'bathNumber': '3', 'constructedArea': '380'}",4,3,,,,,,380,0,0,1
138,Piso en venta en Alquería-Torrealquería,Alhaurín de la Torre,36.6761864,-4.5997829,255000,unknown,"{'roomNumber': '3', 'bathNumber': '2', 'hasSwimmingPool': '1', 'constructedArea': '136'}",3,2,,,,1,,136,0,0,1
139,"Casa o chalet independiente en venta en Urb. Pinos de Alhaurin, Pinos de Alhaurín",Alhaurín de la Torre,36.6450653,-4.5813861,650000,inProcess,"{'roomNumber': '5', 'bathNumber': '4', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '350'}",5,4,1,1,1,1,,350,0,0,1
140,Casa o chalet independiente en venta en Pinos de Alhaurín,Alhaurín de la Torre,36.6459687,-4.5943218,750000,inProcess,"{'roomNumber': '7', 'bathNumber': '4', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '550'}",7,4,1,1,1,1,,550,0,0,1
141,Finca rústica en venta en Alquería-Torrealquería,Alhaurín de la Torre,36.6644607,-4.6238265,495000,inProcess,"{'roomNumber': '4', 'bathNumber': '2', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '137'}",4,2,1,1,1,1,,137,0,0,1
142,Chalet pareado en venta en Huerta Alta 1 s/n,"Jardines de Alhaurín-Huerta Alta-Fuensanguínea, Alhaurín de la Torre",36.6575175,-4.5591907,385000,d,"{'roomNumber': '4', 'bathNumber': '3', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '200'}",4,3,1,1,1,1,,200,0,0,1
143,Chalet pareado en venta en Capellanía - Retamar,Alhaurín de la Torre,36.6635613,-4.5482749,415000,inProcess,"{'roomNumber': '5', 'bathNumber': '2', 'hasParking': '1', 'hasGarden': '1', 'hasTerrace': '1', 'constructedArea': '196'}",5,2,1,1,1,,,196,0,0,1
144,Finca rústica en venta en El Romeral-Peñón de Zapata,Alhaurín de la Torre,36.7071163,-4.5749696,530000,e,"{'roomNumber': '4', 'bathNumber': '2', 'hasParking': '1', 'hasGarden': '0', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '269'}",4,2,0,1,1,1,,269,0,0,1
145,Finca rústica en venta en Alquería-Torrealquería,Alhaurín de la Torre,36.661897,-4.6127082,480000,inProcess,"{'roomNumber': '3', 'bathNumber': '2', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '110'}",3,2,1,1,1,1,,110,0,0,1
146,Casa o chalet independiente en venta en Pinos de Alhaurín,Alhaurín de la Torre,36.651335,-4.5860511,685000,inProcess,"{'roomNumber': '11', 'bathNumber': '9', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '448'}",11,9,1,1,,1,,448,0,0,1
147,Casa o chalet independiente en venta en Manantiales - Lagar - Cortijo,Alhaurín de la Torre,36.6565176,-4.5325288,745000,inProcess,"{'roomNumber': '4', 'bathNumber': '3', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '400'}",4,3,1,1,1,1,,400,0,0,1
148,Casa o chalet independiente en venta en Platero - El Limón,Alhaurín de la Torre,36.6570131,-4.5709794,595000,inProcess,"{'roomNumber': '5', 'bathNumber': '3', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '400'}",5,3,1,1,1,1,,400,0,0,1
149,Casa o chalet independiente en venta en Pinos de Alhaurín,Alhaurín de la Torre,36.6442271,-4.5914706,590000,inProcess,"{'roomNumber': '7', 'bathNumber': '3', 'hasGarden': '1', 'hasTerrace': '1', 'constructedArea': '390'}",7,3,1,1,,,,390,0,0,1
150,Casa o chalet independiente en venta en Manantiales - Lagar - Cortijo,Alhaurín de la Torre,36.6620829,-4.5563138,690000,inProcess,"{'roomNumber': '5', 'bathNumber': '4', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '480'}",5,4,1,1,1,1,,480,0,0,1
151,Chalet pareado en venta en Jardines de Alhaurín-Huerta Alta-Fuensanguínea,Alhaurín de la Torre,36.654716,-4.5615166,450000,inProcess,"{'roomNumber': '3', 'bathNumber': '3', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '244'}",3,3,1,1,1,1,,244,0,0,1
152,"Casa o chalet independiente en venta en calle Pablo Ruiz Picasso, 10","Pinos de Alhaurín, Alhaurín de la Torre",36.6549644,-4.5760162,529000,inProcess,"{'roomNumber': '5', 'bathNumber': '4', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '350'}",5,4,1,1,1,1,,350,0,0,1
153,Ático en venta en Centro,Alhaurín de la Torre,36.6682105,-4.5600074,214000,inProcess,"{'roomNumber': '1', 'bathNumber': '1', 'hasLift': '1', 'hasParking': '1', 'hasGarden': '0', 'hasSwimmingPool': '0', 'hasTerrace': '1', 'constructedArea': '82'}",1,1,0,1,1,0,1,82,0,0,1
154,Chalet adosado en venta en calle Angola,"Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6642989,-4.5181293,294000,c,"{'roomNumber': '3', 'bathNumber': '3', 'hasParking': '1', 'hasGarden': '0', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '213'}",3,3,0,1,1,1,,213,0,0,1
155,Casa o chalet independiente en venta en calle Pajarete,"Manantiales - Lagar - Cortijo, Alhaurín de la Torre",36.6587751,-4.5400898,459950,c,"{'roomNumber': '4', 'bathNumber': '3', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '142'}",4,3,1,1,1,1,,142,0,0,1
156,Casa o chalet independiente en venta en calle 2 Au13,"Manantiales - Lagar - Cortijo, Alhaurín de la Torre",36.6613399,-4.5341863,837950,c,"{'roomNumber': '6', 'bathNumber': '4', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '411'}",6,4,1,1,1,1,,411,0,0,1
157,Casa o chalet independiente en venta en calle Amapola,"Platero - El Limón, Alhaurín de la Torre",36.657053,-4.5715122,595000,c,"{'roomNumber': '5', 'bathNumber': '3', 'hasParking': '1', 'hasGarden': '0', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '400'}",5,3,0,1,1,1,,400,0,0,1
158,Chalet pareado en venta en Arroyo del Gato,"Jardines de Alhaurín-Huerta Alta-Fuensanguínea, Alhaurín de la Torre",36.6589834,-4.5575035,410000,c,"{'roomNumber': '4', 'bathNumber': '3', 'hasParking': '1', 'hasGarden': '0', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '200'}",4,3,0,1,1,1,,200,0,0,1
