,titulo,localizacion,latitude,longitude,price,energy_certification,basic_characteristics,room_number,bath_number,has_garden,has_terrace,has_parking,has_swimmingpool,has_lift,constructed_area,is_new_development,is_needs_renovating,is_goog_condition
29,"Casa o chalet independiente en venta en calle Benahavís, 252","Pinos de Alhaurín, Alhaurín de la Torre",36.6433762,-4.5922884,535000,e,"{'roomNumber': '3', 'bathNumber': '3', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '235'}",3,3,1,1,1,1,,235,0,0,1
30,"Chalet adosado en venta en A-404, 101","Buenavista-Lauro Golf, Alhaurín de la Torre",36.6492767,-4.6159971,389990,e,"{'roomNumber': '3', 'bathNumber': '2', 'hasGarden': '1', 'hasSwimmingPool': '1', 'constructedArea': '223'}",3,2,1,,,1,,223,0,0,1
31,"Chalet adosado en venta en A-404, 101","Centro, Alhaurín de la Torre",36.6639047,-4.582132,349990,e,"{'roomNumber': '2', 'bathNumber': '2', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '207'}",2,2,1,1,1,1,,207,0,0,1
32,"Piso en venta en A-404, 61","Centro, Alhaurín de la Torre",36.6639047,-4.582132,249990,e,"{'roomNumber': '2', 'bathNumber': '2', 'hasLift': '0', 'hasParking': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '116'}",2,2,,1,1,1,0,116,0,0,1
33,"Casa o chalet independiente en venta en Zona Ue-Ro-08, 8 A","El Romeral-Peñón de Zapata, Alhaurín de la Torre",36.6975968,-4.565746,499000,e,"{'roomNumber': '7', 'bathNumber': '3', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '610'}",7,3,1,1,1,1,,610,0,0,1
34,"Chalet adosado en venta en Chumberas, 2","Platero - El Limón, Alhaurín de la Torre",36.65932,-4.5666069,390000,e,"{'roomNumber': '4', 'bathNumber': '3', 'hasParking': '1', 'hasTerrace': '1', 'constructedArea': '250'}",4,3,,1,1,,,250,0,0,1
35,Casa o chalet independiente en venta en Jardines de Alhaurín-Huerta Alta-Fuensanguínea,Alhaurín de la Torre,36.6577352,-4.5599868,410000,inProcess,"{'roomNumber': '3', 'bathNumber': '2', 'hasParking': '0', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '0', 'constructedArea': '133'}",3,2,1,0,0,1,,133,0,0,1
36,Casa o chalet independiente en venta en Pinos de Alhaurín,Alhaurín de la Torre,36.6508154,-4.577646,498500,unknown,"{'roomNumber': '5', 'bathNumber': '3', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '408'}",5,3,1,1,1,1,,408,0,0,1
37,Piso en venta en calle Pueblo Andaluz s/n,"Alhaurín Golf, Alhaurín el Grande",36.6148725,-4.7075085,214000,e,"{'roomNumber': '3', 'bathNumber': '2', 'hasLift': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '136'}",3,2,1,1,,1,1,136,0,0,1
38,"Piso en venta en calle Joan Miro, 6","Centro, Alhaurín el Grande",36.6367757,-4.6934671,105000,e,"{'roomNumber': '3', 'bathNumber': '1', 'hasLift': '0', 'hasTerrace': '1', 'constructedArea': '121'}",3,1,,1,,,0,121,0,0,1
