latitude,longitude,price,energy_certification,room_number,bath_number,has_garden,has_terrace,has_parking,has_swimmingpool,has_lift,constructed_area,is_new_development,is_needs_renovating,is_goog_condition,Price_predict,Var_Prices,%_rentabilidad
0.10463367713776961,0.21226462639113386,395000,0.875,0.42857142857142855,0.5,1.0,1.0,1.0,1.0,0.0,0.22085889570552147,0.0,0.0,1.0,474792.99892410054,79792.99892410054,20.200759221291275
0.09917052371299917,0.17462562057556497,640000,0.875,0.42857142857142855,0.25,1.0,1.0,1.0,1.0,0.0,0.39877300613496935,0.0,0.0,1.0,544751.3530245777,-95248.64697542228,-14.88260108990973
0.08639627822088869,0.1755512491438882,567000,0.875,0.5714285714285714,0.75,1.0,1.0,0.0,1.0,0.0,0.5521472392638037,0.0,0.0,1.0,670067.7375460861,103067.73754608608,18.17773148960954
0.11315246092688369,0.16217912300761395,375900,1.0,0.42857142857142855,0.25,1.0,1.0,1.0,1.0,1.0,0.2852760736196319,1.0,0.0,0.0,464326.1587991132,88426.15879911318,23.523851768851607
0.11315246092688369,0.16217912300761395,249900,1.0,0.14285714285714285,0.25,0.0,1.0,1.0,1.0,1.0,0.15337423312883436,1.0,0.0,0.0,260002.63500053034,10102.63500053034,4.042671068639592
0.11315246092688369,0.16217912300761395,230900,1.0,0.14285714285714285,0.25,0.0,1.0,1.0,1.0,1.0,0.07515337423312884,1.0,0.0,0.0,211236.3993495857,-19663.6006504143,-8.516067843401602
0.07541457438554744,0.18413595157632123,795000,0.25,0.2857142857142857,0.75,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,918272.9428718172,123272.94287181715,15.506030549914108
0.11172505278153722,0.1715586982044055,235000,0.5,0.2857142857142857,0.25,0.0,0.0,1.0,1.0,0.0,0.15184049079754602,0.0,0.0,1.0,274114.009313294,39114.009313294024,16.644259282252776
0.08160799483310655,0.18771967525465527,690000,0.875,0.5714285714285714,0.75,1.0,1.0,1.0,1.0,0.0,0.9187116564417178,0.0,0.0,1.0,953968.1461652559,263968.1461652559,38.256253067428396
0.09112860316687943,0.18200145401219814,371000,0.875,0.2857142857142857,0.5,0.0,1.0,1.0,1.0,0.0,0.15644171779141106,0.0,0.0,1.0,330479.9078400025,-40520.0921599975,-10.921857725066712
0.11006108453452157,0.2136047297992576,395000,0.375,0.42857142857142855,0.5,1.0,1.0,1.0,1.0,0.0,0.15644171779141106,0.0,0.0,1.0,431799.83891063073,36799.83891063073,9.31641491408373
0.08620426029023065,0.11132612325792479,595000,0.875,0.5714285714285714,0.5,1.0,1.0,1.0,1.0,0.0,0.44171779141104295,0.0,0.0,1.0,568761.4656829955,-26238.534317004494,-4.409837700336889
0.07847319918154483,0.18541077280413276,995000,0.0,0.42857142857142855,0.75,1.0,1.0,1.0,1.0,0.0,0.32975460122699385,0.0,0.0,1.0,557681.9677689758,-437318.03223102423,-43.95156102824364
0.07781142978311095,0.18679002637610687,625000,0.375,0.42857142857142855,0.5,1.0,1.0,1.0,0.0,0.0,0.3803680981595092,0.0,0.0,1.0,596392.476504629,-28607.523495370988,-4.577203759259358
0.09729956537695728,0.17758705766417027,450000,0.75,0.8571428571428572,0.5,1.0,1.0,1.0,1.0,1.0,0.12730061349693253,0.0,0.0,1.0,468470.5050920959,18470.505092095875,4.104556687132416
0.11327523262524153,0.16988586626438096,256500,0.375,0.2857142857142857,0.0,0.0,1.0,0.0,0.0,0.0,0.19785276073619634,0.0,0.0,1.0,279914.36594878655,23414.36594878655,9.128407777304698
0.09557477273666848,0.16581606793558556,422500,1.0,0.5714285714285714,0.5,0.0,0.0,0.0,1.0,0.0,0.3174846625766871,0.0,0.0,1.0,424437.71715651534,1937.7171565153403,0.4586312796486013
0.11327523262524153,0.16988586626438096,256500,0.5,0.42857142857142855,0.25,0.0,1.0,0.0,0.0,0.0,0.1579754601226994,0.0,1.0,0.0,272612.1802524892,16112.180252489226,6.281551755356424
0.09188114127523761,0.1743506122118843,291800,0.5,0.2857142857142857,0.25,1.0,1.0,1.0,1.0,1.0,0.10122699386503067,0.0,0.0,1.0,313680.51851435006,21880.518514350057,7.498464192717634
0.09843314491496358,0.17980942772319786,235000,0.5,0.2857142857142857,0.25,1.0,1.0,1.0,1.0,1.0,0.07975460122699388,0.0,0.0,1.0,298741.75398025435,63741.75398025435,27.124150629895468
0.09923771127354541,0.21566063987066197,262181,0.5,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,1.0,0.08128834355828221,0.0,0.0,1.0,197952.2525148532,-64228.7474851468,-24.497865018878866
0.08766348427202786,0.1758075917815285,567000,0.875,0.5714285714285714,0.75,1.0,1.0,0.0,1.0,0.0,0.5521472392638037,0.0,0.0,1.0,669013.1066842366,102013.10668423655,17.991729573939427
0.16091720190574677,0.22625205143508342,273100,0.25,0.2857142857142857,0.25,0.0,1.0,1.0,1.0,1.0,0.07822085889570551,1.0,0.0,0.0,259611.44788988112,-13488.552110118879,-4.9390524020940605
0.16091720190574677,0.22625205143508342,246300,0.25,0.14285714285714285,0.25,0.0,1.0,1.0,1.0,1.0,0.05061349693251535,1.0,0.0,0.0,209718.98261060214,-36581.017389397864,-14.85221980893133
0.108486574933508,0.16693141685783264,320000,1.0,0.42857142857142855,0.25,0.0,1.0,1.0,1.0,0.0,0.1687116564417178,0.0,0.0,1.0,327435.48411423527,7435.484114235267,2.323588785698521
0.10074596907388411,0.17393518015536635,275730,0.375,0.2857142857142857,0.25,1.0,1.0,0.0,0.0,0.0,0.09969325153374234,0.0,0.0,1.0,303115.6014725424,27385.60147254239,9.932035495790226
