,latitude,longitude,price,energy_certification,room_number,bath_number,has_garden,has_terrace,has_parking,has_swimmingpool,has_lift,constructed_area,is_new_development,is_needs_renovating,is_goog_condition
60,36.6675775,-4.4623495,1500000,3,5,6,1.0,1.0,1.0,1.0,0.0,600,0,0,1
61,37.1311247,-3.6723631,54900,7,1,1,0.0,0.0,1.0,0.0,1.0,53,0,0,1
62,36.6955102,-4.5546675,425000,7,4,3,1.0,1.0,1.0,1.0,0.0,230,0,0,1
63,36.6656448,-4.472338,410000,4,8,4,1.0,1.0,1.0,0.0,0.0,210,0,0,1
64,36.6495488,-4.4888463,895000,7,4,4,1.0,1.0,1.0,1.0,0.0,500,0,0,1
65,36.6988581,-4.4476889,249900,8,2,1,0.0,1.0,0.0,0.0,1.0,80,0,0,1
66,36.6648899,-4.4972496,249000,7,3,2,1.0,1.0,0.0,1.0,1.0,106,0,0,1
67,36.6652929,-4.4998666,223000,4,3,2,1.0,1.0,1.0,1.0,1.0,102,0,0,1
68,36.6723596,-4.5069099,235000,7,3,2,1.0,1.0,1.0,1.0,0.0,120,0,0,1
69,36.6656226,-4.4995242,298000,4,4,2,0.0,1.0,1.0,1.0,0.0,231,0,0,1
70,36.69337,-4.45395,139900,4,3,1,0.0,0.0,0.0,0.0,1.0,76,0,0,1
71,36.6722374,-4.5054086,172000,8,2,2,0.0,1.0,0.0,0.0,0.0,86,0,0,1
72,36.6638147,-4.5058824,5000000,2,11,6,1.0,1.0,1.0,1.0,0.0,1600,0,0,1
73,36.6983376,-4.4455878,180000,7,2,1,0.0,0.0,0.0,0.0,1.0,75,0,0,1
74,36.6674775,-4.4605495,1500000,2,4,5,1.0,1.0,1.0,1.0,0.0,620,0,0,1
75,36.672398,-4.5068266,318500,6,4,2,1.0,1.0,1.0,1.0,0.0,180,0,0,1
76,36.6991275,-4.4459164,160000,7,3,1,0.0,0.0,0.0,0.0,1.0,80,0,0,1
77,36.6594796,-4.4953536,370000,2,3,3,1.0,1.0,1.0,1.0,0.0,198,0,0,1
78,36.6643215,-4.5000073,205000,4,3,1,0.0,1.0,1.0,0.0,0.0,67,0,1,0
79,36.6620559,-4.5186553,350000,8,3,2,1.0,1.0,1.0,1.0,1.0,123,0,0,1
80,36.654312,-4.5117104,640000,8,4,5,1.0,1.0,1.0,1.0,0.0,300,0,0,1
81,36.6607864,-4.503071,157500,7,3,1,1.0,1.0,0.0,1.0,1.0,68,0,0,1
82,36.6524475,-4.490088,725000,7,5,3,1.0,1.0,1.0,0.0,0.0,278,0,0,1
83,36.6626183,-4.5026068,299000,4,3,2,0.0,1.0,1.0,0.0,0.0,150,0,0,1
84,36.6631287,-4.4561357,430000,0,3,2,0.0,1.0,1.0,0.0,1.0,160,0,0,1
85,36.6972921,-4.4511214,162000,8,3,1,0.0,1.0,0.0,0.0,1.0,74,0,0,1
86,36.6676778,-4.4653004,395000,8,4,3,1.0,1.0,1.0,1.0,0.0,194,0,0,1
87,36.659266,-4.4937989,860000,8,5,2,1.0,1.0,1.0,0.0,0.0,223,0,0,1
88,36.6618741,-4.495526,360000,2,4,3,1.0,1.0,1.0,1.0,0.0,220,0,0,1
89,36.6645775,-4.4600495,1500000,7,4,6,1.0,1.0,1.0,1.0,0.0,630,0,0,1
90,36.652233,-4.49582,639000,4,3,2,1.0,1.0,1.0,0.0,0.0,298,0,0,1
91,36.665476,-4.461655,1500000,2,4,6,1.0,1.0,1.0,1.0,0.0,710,0,0,1
92,36.6653113,-4.5052488,173000,8,2,1,0.0,1.0,0.0,0.0,0.0,91,0,0,1
93,36.6604195,-4.5190936,640000,7,4,2,1.0,1.0,1.0,1.0,0.0,250,0,0,1
94,36.7143969,-4.4393075,340000,7,3,2,0.0,1.0,1.0,0.0,1.0,76,0,0,1
95,36.67104,-4.5181699,359000,2,4,3,1.0,1.0,1.0,0.0,0.0,190,0,0,1
96,36.6470284,-4.5082433,700000,4,3,2,1.0,1.0,1.0,1.0,0.0,455,0,0,1
97,36.6611221,-4.4958917,360000,0,4,3,1.0,1.0,1.0,1.0,0.0,220,0,0,1
98,36.6538028,-4.4930439,700000,8,5,3,1.0,1.0,1.0,1.0,0.0,270,0,0,1
99,36.667023,-4.5010688,255000,4,3,2,0.0,1.0,1.0,0.0,0.0,178,0,1,0
100,36.6713789,-4.5070138,310000,8,3,3,0.0,1.0,1.0,0.0,0.0,251,0,0,1
101,36.6633929,-4.4986666,240000,6,2,1,1.0,1.0,1.0,1.0,1.0,109,0,0,1
102,36.6485811,-4.5021544,270000,0,3,2,1.0,1.0,1.0,1.0,0.0,100,0,0,1
103,36.661246,-4.5010769,190000,8,3,1,1.0,1.0,0.0,1.0,1.0,77,0,0,1
104,36.6509694,-4.4934611,1975000,3,5,7,1.0,1.0,1.0,1.0,0.0,706,0,0,1
105,36.6939299,-4.4588624,260000,3,3,1,1.0,0.0,1.0,0.0,1.0,114,0,0,1
106,36.6658835,-4.4731468,215000,5,3,2,0.0,1.0,1.0,0.0,1.0,85,0,0,1
107,36.6520052,-4.4983126,449900,7,4,3,0.0,0.0,0.0,0.0,0.0,250,0,0,1
108,36.6678521,-4.5026877,85000,7,2,1,0.0,0.0,0.0,0.0,0.0,55,0,1,0
109,36.6674941,-4.4980792,298000,7,4,2,0.0,0.0,1.0,1.0,0.0,231,0,0,1
110,36.6598242,-4.5041845,291800,6,3,2,1.0,1.0,1.0,1.0,1.0,159,0,0,1
111,36.6634751,-4.4611374,262181,4,2,1,1.0,1.0,0.0,1.0,1.0,102,0,0,1
112,36.67119,-4.5169,255900,8,2,2,0.0,1.0,1.0,1.0,1.0,149,1,0,0
113,36.67119,-4.5169,265900,8,3,2,0.0,1.0,1.0,1.0,1.0,119,1,0,0
114,36.67119,-4.5169,255900,8,3,2,0.0,1.0,1.0,1.0,1.0,165,1,0,0
115,36.67119,-4.5169,265900,8,3,2,0.0,1.0,1.0,1.0,1.0,113,1,0,0
116,36.6487253,-4.5018207,182100,6,2,1,0.0,1.0,0.0,0.0,0.0,83,0,0,1
117,36.6598242,-4.5041845,291800,6,3,2,1.0,1.0,1.0,1.0,1.0,159,0,0,1
118,36.6499253,-4.5013207,182100,6,2,1,1.0,1.0,0.0,0.0,0.0,83,0,0,1
119,36.6692556,-4.5108488,256500,6,4,2,0.0,1.0,0.0,0.0,0.0,153,0,0,1
120,36.6591767,-4.502023,1148000,6,6,6,1.0,1.0,1.0,0.0,0.0,650,0,0,1
121,36.6530063,-4.4933191,750000,3,4,3,1.0,1.0,1.0,1.0,0.0,551,0,0,1
122,36.6487253,-4.5018207,182100,4,3,1,0.0,1.0,1.0,0.0,0.0,83,0,0,1
123,36.6489861,-4.502343,1089800,4,14,7,1.0,1.0,1.0,0.0,0.0,1071,0,1,0
124,36.6598242,-4.5041845,297100,4,3,2,1.0,1.0,1.0,1.0,1.0,116,0,0,1
125,36.6598242,-4.5041845,291800,4,3,2,1.0,1.0,1.0,1.0,1.0,118,0,0,1
126,36.6598242,-4.5041845,297100,4,3,2,1.0,1.0,1.0,1.0,1.0,156,0,0,1
127,36.6637115,-4.4612152,262181,4,1,1,1.0,0.0,0.0,1.0,1.0,108,0,0,1
128,36.6612712,-4.505055,1148000,5,5,4,1.0,0.0,0.0,0.0,0.0,650,0,0,1
129,36.6731556,-4.5081488,256500,6,4,2,0.0,1.0,0.0,0.0,0.0,153,0,0,1
130,36.6657797,-4.5058803,252000,8,2,2,0.0,1.0,1.0,1.0,1.0,104,1,0,0
131,36.6657797,-4.5058803,215000,8,2,2,0.0,1.0,1.0,1.0,1.0,84,1,0,0
132,36.6657797,-4.5058803,225000,8,2,2,0.0,1.0,1.0,1.0,1.0,82,1,0,0
133,36.6657797,-4.5058803,275000,8,3,2,0.0,1.0,1.0,1.0,1.0,107,1,0,0
134,36.6657797,-4.5058803,358000,8,3,2,0.0,1.0,1.0,1.0,1.0,111,1,0,0
135,36.66474,-4.50572,1300000,7,5,6,1.0,1.0,1.0,1.0,0.0,659,0,0,1
136,36.6719544,-4.5160087,355000,8,4,3,1.0,1.0,1.0,1.0,0.0,250,1,0,0
137,36.6719544,-4.5160087,335000,8,4,3,1.0,1.0,1.0,1.0,0.0,235,1,0,0
138,36.6719544,-4.5160087,345000,8,4,3,1.0,1.0,1.0,1.0,0.0,235,1,0,0
139,36.6719544,-4.5160087,362000,8,4,3,1.0,1.0,1.0,1.0,0.0,250,1,0,0
140,36.67119,-4.5169,375900,8,4,2,0.0,1.0,1.0,1.0,1.0,248,1,0,0
141,36.6639614,-4.4614042,299000,7,3,2,1.0,1.0,1.0,1.0,1.0,95,0,0,1
142,36.6732957,-4.5112724,189500,8,2,1,0.0,1.0,0.0,0.0,0.0,150,1,0,0
143,36.6632593,-4.5028602,264500,7,3,3,0.0,0.0,1.0,0.0,0.0,200,0,0,1
144,36.6657797,-4.5058803,257000,8,3,2,0.0,1.0,1.0,1.0,1.0,103,1,0,0
145,36.6657797,-4.5058803,258000,8,2,2,0.0,1.0,1.0,1.0,1.0,83,1,0,0
146,36.6657797,-4.5058803,293000,8,3,2,0.0,1.0,1.0,1.0,1.0,101,1,0,0
147,36.6657797,-4.5058803,389000,8,4,2,0.0,1.0,1.0,1.0,1.0,118,1,0,0
148,36.6657797,-4.5058803,344000,8,3,2,0.0,1.0,1.0,1.0,1.0,105,1,0,0
149,36.6657797,-4.5058803,318000,8,3,2,1.0,0.0,1.0,1.0,1.0,104,1,0,0
150,36.6508438,-4.4906787,790000,4,5,3,1.0,1.0,1.0,1.0,0.0,552,0,1,0
151,36.6107298,-4.5038413,175000,0,1,1,1.0,1.0,1.0,1.0,1.0,50,0,0,1
152,36.6549146,-4.4916536,1990000,2,11,7,1.0,1.0,1.0,1.0,0.0,1028,0,0,1
153,36.6563299,-4.4900142,1210000,3,5,5,1.0,1.0,1.0,1.0,0.0,659,0,0,1
154,36.6689494,-4.5176987,334000,2,2,2,1.0,1.0,1.0,1.0,1.0,143,0,0,1
155,36.6546359,-4.4973702,445000,3,4,3,1.0,1.0,1.0,0.0,0.0,300,0,0,1
156,36.668864,-4.4762231,215000,4,3,1,0.0,0.0,1.0,0.0,0.0,171,0,0,1
157,36.67119,-4.5169,375900,8,4,2,1.0,1.0,1.0,1.0,1.0,236,1,0,0
158,36.67119,-4.5169,279900,8,3,2,0.0,1.0,1.0,1.0,1.0,118,1,0,0
159,36.6719099,-4.51791,299900,8,3,3,1.0,0.0,1.0,1.0,0.0,139,1,0,0
160,36.67119,-4.5169,249900,8,3,2,0.0,1.0,1.0,1.0,1.0,117,1,0,0
161,36.660194,-4.49976,385000,1,3,2,0.0,1.0,1.0,1.0,1.0,116,1,0,0
162,37.1450549,-3.6416323,172670,8,3,2,0.0,1.0,1.0,1.0,1.0,125,1,0,0
163,37.1450549,-3.6416323,165877,8,3,2,0.0,1.0,1.0,1.0,1.0,111,1,0,0
164,37.1450549,-3.6416323,170297,8,3,2,0.0,1.0,1.0,1.0,1.0,112,1,0,0
165,36.6620393,-4.460432,262181,5,2,1,1.0,0.0,0.0,1.0,1.0,102,0,0,1
166,37.1450549,-3.6416323,159320,8,3,2,1.0,0.0,1.0,1.0,1.0,119,1,0,0
167,37.1450549,-3.6416323,165787,8,3,2,1.0,0.0,1.0,1.0,1.0,125,1,0,0
168,37.1450549,-3.6416323,176746,8,3,2,1.0,0.0,1.0,1.0,1.0,116,1,0,0
169,37.1450549,-3.6416323,188400,8,3,2,0.0,1.0,1.0,1.0,1.0,130,1,0,0
170,37.1450549,-3.6416323,175599,8,3,2,0.0,1.0,1.0,1.0,1.0,118,1,0,0
171,36.6457453,-4.5016944,1800000,3,5,5,1.0,1.0,1.0,1.0,0.0,1004,0,0,1
172,36.6617978,-4.5131005,422500,4,6,4,1.0,1.0,1.0,1.0,0.0,296,0,0,1
173,36.6532991,-4.48858,799900,3,6,4,1.0,1.0,1.0,1.0,0.0,380,0,0,1
174,36.661331,-4.5033686,291800,7,3,2,1.0,1.0,1.0,1.0,1.0,118,0,0,1
175,36.659031,-4.5043686,297100,7,3,2,1.0,1.0,1.0,1.0,0.0,116,0,0,1
176,36.6667599,-4.4617824,698000,4,6,3,1.0,1.0,1.0,1.0,0.0,351,0,0,1
177,36.660194,-4.49976,315000,1,3,2,0.0,1.0,1.0,1.0,1.0,109,1,0,0
178,36.660194,-4.49976,278000,1,2,2,0.0,1.0,1.0,1.0,1.0,94,1,0,0
179,36.660194,-4.49976,319000,1,3,2,0.0,1.0,1.0,1.0,1.0,109,1,0,0
180,36.6598242,-4.5041845,291800,4,3,2,1.0,1.0,1.0,1.0,1.0,118,0,0,1
181,36.6712418,-4.5089442,256500,4,3,1,0.0,1.0,0.0,0.0,0.0,179,0,0,1
182,36.6698723,-4.5194574,320000,1,3,3,1.0,1.0,1.0,1.0,0.0,140,0,0,1
183,36.6617583,-4.5044688,595000,4,4,3,1.0,1.0,1.0,0.0,0.0,226,0,0,1
184,36.6646899,-4.5194822,640000,8,4,2,1.0,1.0,1.0,1.0,0.0,310,0,0,1
185,36.6611372,-4.5199706,367500,7,3,2,1.0,1.0,1.0,1.0,0.0,123,0,0,1
186,36.6625221,-4.4978917,360000,7,4,3,0.0,1.0,1.0,1.0,0.0,202,0,0,1
