,titulo,localizacion,latitude,longitude,price,energy_certification,room_number,bath_number,has_garden,has_terrace,has_parking,has_swimmingpool,has_lift,constructed_area,is_new_development,is_needs_renovating,is_goog_condition
36,107,5,36.6576179,-4.5050633,297100,3,3,2,1.0,1.0,1.0,1.0,1.0,156,0,0,1
37,15,5,36.654368,-4.4935667,790000,2,5,3,1.0,1.0,1.0,1.0,0.0,440,0,0,1
38,47,3,36.6634024,-4.4985914000000005,205000,4,3,1,0.0,1.0,1.0,0.0,0.0,130,0,0,1
39,33,5,36.65997120000001,-4.503655,1148000,5,6,6,1.0,1.0,1.0,0.0,0.0,650,0,0,1
40,110,9,36.665484,-4.459338099999999,249900,8,3,1,1.0,1.0,1.0,1.0,1.0,83,0,0,1
41,108,5,36.6598242,-4.5041845,297100,4,3,2,1.0,1.0,1.0,1.0,1.0,118,0,0,1
42,31,9,36.666543,-4.4609755999999985,779000,7,4,3,1.0,0.0,1.0,1.0,0.0,230,0,0,1
43,60,4,36.6616864,-4.4983251,367000,3,4,3,1.0,1.0,1.0,1.0,0.0,195,0,0,1
44,79,14,37.1328,-3.66879,129900,7,4,2,0.0,1.0,0.0,0.0,1.0,115,0,0,1
45,50,14,37.1329055,-3.6706027,179999,7,4,2,1.0,1.0,1.0,1.0,0.0,230,0,0,1
46,48,3,36.6469253,-4.5018207000000015,182100,7,3,1,0.0,1.0,0.0,0.0,0.0,83,0,1,0
47,112,9,36.6638777,-4.4607722,262181,5,2,1,1.0,0.0,0.0,1.0,1.0,108,0,0,1
48,7,3,36.6507172,-4.4980983,900000,7,6,4,1.0,1.0,1.0,1.0,0.0,384,0,1,0
49,85,3,36.6659889,-4.5149367,182000,7,1,1,1.0,1.0,1.0,1.0,1.0,55,0,0,1
50,83,0,36.6597396,-4.5822227999999985,210000,7,1,1,1.0,0.0,0.0,1.0,0.0,65,0,0,1
51,86,3,36.66014600000001,-4.4978386,235000,7,3,2,1.0,0.0,1.0,1.0,1.0,89,0,0,1
52,21,5,36.6548086,-4.4900614,790000,3,5,3,1.0,1.0,1.0,1.0,0.0,440,0,0,1
53,21,5,36.653835,-4.491917900000002,790000,6,5,3,1.0,1.0,1.0,1.0,0.0,360,0,0,1
54,47,3,36.6633891,-4.4988999000000005,299990,4,4,3,0.0,0.0,1.0,0.0,0.0,213,0,0,1
55,85,3,36.6613088,-4.4990457,250000,5,2,1,1.0,1.0,1.0,1.0,1.0,109,0,0,1
56,47,3,36.6695723,-4.5186574,320000,0,3,3,0.0,1.0,0.0,1.0,0.0,161,0,0,1
57,14,13,36.6450558,-4.5901766,550000,7,4,4,1.0,1.0,1.0,1.0,0.0,280,0,0,1
58,4,5,36.6463857,-4.5002249,639000,4,3,2,1.0,1.0,1.0,0.0,0.0,298,0,0,1
59,55,4,36.6632566,-4.5192925000000015,330000,7,3,4,1.0,1.0,1.0,1.0,0.0,239,0,0,1
60,24,9,36.6675775,-4.4623495,1500000,3,5,6,1.0,1.0,1.0,1.0,0.0,600,0,0,1
61,90,14,37.1311247,-3.6723631,54900,7,1,1,0.0,0.0,1.0,0.0,1.0,53,0,0,1
62,45,7,36.6955102,-4.5546675,425000,7,4,3,1.0,1.0,1.0,1.0,0.0,230,0,0,1
63,6,3,36.6656448,-4.472338,410000,4,8,4,1.0,1.0,1.0,0.0,0.0,210,0,0,1
64,7,3,36.6495488,-4.4888463,895000,7,4,4,1.0,1.0,1.0,1.0,0.0,500,0,0,1
65,95,12,36.6988581,-4.4476889,249900,8,2,1,0.0,1.0,0.0,0.0,1.0,80,0,0,1
66,93,4,36.6648899,-4.4972496,249000,7,3,2,1.0,1.0,0.0,1.0,1.0,106,0,0,1
67,85,3,36.6652929,-4.4998666,223000,4,3,2,1.0,1.0,1.0,1.0,1.0,102,0,0,1
68,47,3,36.6723596,-4.5069099,235000,7,3,2,1.0,1.0,1.0,1.0,0.0,120,0,0,1
69,54,4,36.6656226,-4.4995242,298000,4,4,2,0.0,1.0,1.0,1.0,0.0,231,0,0,1
70,88,1,36.69337,-4.45395,139900,4,3,1,0.0,0.0,0.0,0.0,1.0,76,0,0,1
71,69,4,36.6722374,-4.5054086,172000,8,2,2,0.0,1.0,0.0,0.0,0.0,86,0,0,1
72,6,3,36.6638147,-4.5058824,5000000,2,11,6,1.0,1.0,1.0,1.0,0.0,1600,0,0,1
73,96,8,36.6983376,-4.445587799999998,180000,7,2,1,0.0,0.0,0.0,0.0,1.0,75,0,0,1
74,24,9,36.6674775,-4.4605495,1500000,2,4,5,1.0,1.0,1.0,1.0,0.0,620,0,0,1
75,47,3,36.672398,-4.506826599999999,318500,6,4,2,1.0,1.0,1.0,1.0,0.0,180,0,0,1
76,95,8,36.6991275,-4.4459164000000015,160000,7,3,1,0.0,0.0,0.0,0.0,1.0,80,0,0,1
77,71,4,36.6594796,-4.4953536,370000,2,3,3,1.0,1.0,1.0,1.0,0.0,198,0,0,1
78,65,4,36.6643215,-4.5000073,205000,4,3,1,0.0,1.0,1.0,0.0,0.0,67,0,1,0
79,118,4,36.6620559,-4.5186553,350000,8,3,2,1.0,1.0,1.0,1.0,1.0,123,0,0,1
80,41,5,36.654312,-4.511710400000001,640000,8,4,5,1.0,1.0,1.0,1.0,0.0,300,0,0,1
81,100,4,36.6607864,-4.503071,157500,7,3,1,1.0,1.0,0.0,1.0,1.0,68,0,0,1
82,39,5,36.6524475,-4.490088,725000,7,5,3,1.0,1.0,1.0,0.0,0.0,278,0,0,1
83,47,3,36.6626183,-4.5026068,299000,4,3,2,0.0,1.0,1.0,0.0,0.0,150,0,0,1
84,113,9,36.6631287,-4.4561357,430000,0,3,2,0.0,1.0,1.0,0.0,1.0,160,0,0,1
85,88,1,36.69729210000001,-4.451121400000001,162000,8,3,1,0.0,1.0,0.0,0.0,1.0,74,0,0,1
86,74,9,36.6676778,-4.4653004,395000,8,4,3,1.0,1.0,1.0,1.0,0.0,194,0,0,1
87,42,5,36.659266,-4.4937989,860000,8,5,2,1.0,1.0,1.0,0.0,0.0,223,0,0,1
88,38,4,36.66187410000001,-4.495526,360000,2,4,3,1.0,1.0,1.0,1.0,0.0,220,0,0,1
89,8,3,36.6645775,-4.4600495,1500000,7,4,6,1.0,1.0,1.0,1.0,0.0,630,0,0,1
90,7,3,36.652233,-4.49582,639000,4,3,2,1.0,1.0,1.0,0.0,0.0,298,0,0,1
91,12,3,36.665476,-4.461655,1500000,2,4,6,1.0,1.0,1.0,1.0,0.0,710,0,0,1
92,13,3,36.66531129999999,-4.5052488,173000,8,2,1,0.0,1.0,0.0,0.0,0.0,91,0,0,1
93,6,3,36.6604195,-4.5190936,640000,7,4,2,1.0,1.0,1.0,1.0,0.0,250,0,0,1
94,80,6,36.7143969,-4.4393075,340000,7,3,2,0.0,1.0,1.0,0.0,1.0,76,0,0,1
95,68,4,36.67104000000001,-4.5181699,359000,2,4,3,1.0,1.0,1.0,0.0,0.0,190,0,0,1
96,5,5,36.6470284,-4.508243299999998,700000,4,3,2,1.0,1.0,1.0,1.0,0.0,455,0,0,1
97,72,4,36.6611221,-4.4958917000000005,360000,0,4,3,1.0,1.0,1.0,1.0,0.0,220,0,0,1
98,16,5,36.6538028,-4.493043900000001,700000,8,5,3,1.0,1.0,1.0,1.0,0.0,270,0,0,1
99,73,4,36.667023,-4.5010688,255000,4,3,2,0.0,1.0,1.0,0.0,0.0,178,0,1,0
100,77,3,36.6713789,-4.5070138,310000,8,3,3,0.0,1.0,1.0,0.0,0.0,251,0,0,1
101,94,4,36.6633929,-4.4986666,240000,6,2,1,1.0,1.0,1.0,1.0,1.0,109,0,0,1
102,25,5,36.6485811,-4.5021544,270000,0,3,2,1.0,1.0,1.0,1.0,0.0,100,0,0,1
103,101,4,36.66124600000001,-4.5010769,190000,8,3,1,1.0,1.0,0.0,1.0,1.0,77,0,0,1
104,11,3,36.6509694,-4.493461099999998,1975000,3,5,7,1.0,1.0,1.0,1.0,0.0,706,0,0,1
105,89,1,36.6939299,-4.4588624,260000,3,3,1,1.0,0.0,1.0,0.0,1.0,114,0,0,1
106,99,4,36.6658835,-4.4731468,215000,5,3,2,0.0,1.0,1.0,0.0,1.0,85,0,0,1
107,28,5,36.65200520000001,-4.498312599999998,449900,7,4,3,0.0,0.0,0.0,0.0,0.0,250,0,0,1
108,76,4,36.6678521,-4.5026877,85000,7,2,1,0.0,0.0,0.0,0.0,0.0,55,0,1,0
109,53,4,36.6674941,-4.4980792,298000,7,4,2,0.0,0.0,1.0,1.0,0.0,231,0,0,1
110,108,5,36.6598242,-4.5041845,291800,6,3,2,1.0,1.0,1.0,1.0,1.0,159,0,0,1
111,103,9,36.6634751,-4.4611374,262181,4,2,1,1.0,1.0,0.0,1.0,1.0,102,0,0,1
112,114,4,36.67119,-4.5169,255900,8,2,2,0.0,1.0,1.0,1.0,1.0,149,1,0,0
113,97,4,36.67119,-4.5169,265900,8,3,2,0.0,1.0,1.0,1.0,1.0,119,1,0,0
114,97,4,36.67119,-4.5169,255900,8,3,2,0.0,1.0,1.0,1.0,1.0,165,1,0,0
115,97,4,36.67119,-4.5169,265900,8,3,2,0.0,1.0,1.0,1.0,1.0,113,1,0,0
116,57,5,36.6487253,-4.5018207000000015,182100,6,2,1,0.0,1.0,0.0,0.0,0.0,83,0,0,1
117,108,5,36.6598242,-4.5041845,291800,6,3,2,1.0,1.0,1.0,1.0,1.0,159,0,0,1
118,56,5,36.6499253,-4.5013207,182100,6,2,1,1.0,1.0,0.0,0.0,0.0,83,0,0,1
119,63,4,36.66925560000001,-4.5108488,256500,6,4,2,0.0,1.0,0.0,0.0,0.0,153,0,0,1
120,32,5,36.6591767,-4.502023,1148000,6,6,6,1.0,1.0,1.0,0.0,0.0,650,0,0,1
121,22,5,36.6530063,-4.4933191,750000,3,4,3,1.0,1.0,1.0,1.0,0.0,551,0,0,1
122,57,5,36.6487253,-4.5018207000000015,182100,4,3,1,0.0,1.0,1.0,0.0,0.0,83,0,0,1
123,40,5,36.6489861,-4.502343,1089800,4,14,7,1.0,1.0,1.0,0.0,0.0,1071,0,1,0
124,108,5,36.6598242,-4.5041845,297100,4,3,2,1.0,1.0,1.0,1.0,1.0,116,0,0,1
125,108,5,36.6598242,-4.5041845,291800,4,3,2,1.0,1.0,1.0,1.0,1.0,118,0,0,1
126,108,5,36.6598242,-4.5041845,297100,4,3,2,1.0,1.0,1.0,1.0,1.0,156,0,0,1
127,104,9,36.6637115,-4.4612152,262181,4,1,1,1.0,0.0,0.0,1.0,1.0,108,0,0,1
128,32,5,36.66127120000001,-4.5050550000000005,1148000,5,5,4,1.0,0.0,0.0,0.0,0.0,650,0,0,1
129,63,4,36.6731556,-4.5081488,256500,6,4,2,0.0,1.0,0.0,0.0,0.0,153,0,0,1
130,105,4,36.6657797,-4.5058803,252000,8,2,2,0.0,1.0,1.0,1.0,1.0,104,1,0,0
131,105,4,36.6657797,-4.5058803,215000,8,2,2,0.0,1.0,1.0,1.0,1.0,84,1,0,0
132,105,4,36.6657797,-4.5058803,225000,8,2,2,0.0,1.0,1.0,1.0,1.0,82,1,0,0
133,105,4,36.6657797,-4.5058803,275000,8,3,2,0.0,1.0,1.0,1.0,1.0,107,1,0,0
134,116,4,36.6657797,-4.5058803,358000,8,3,2,0.0,1.0,1.0,1.0,1.0,111,1,0,0
135,0,3,36.66474,-4.505719999999998,1300000,7,5,6,1.0,1.0,1.0,1.0,0.0,659,0,0,1
136,52,4,36.6719544,-4.5160087,355000,8,4,3,1.0,1.0,1.0,1.0,0.0,250,1,0,0
137,52,4,36.6719544,-4.5160087,335000,8,4,3,1.0,1.0,1.0,1.0,0.0,235,1,0,0
138,52,4,36.6719544,-4.5160087,345000,8,4,3,1.0,1.0,1.0,1.0,0.0,235,1,0,0
139,52,4,36.6719544,-4.5160087,362000,8,4,3,1.0,1.0,1.0,1.0,0.0,250,1,0,0
140,114,4,36.67119,-4.5169,375900,8,4,2,0.0,1.0,1.0,1.0,1.0,248,1,0,0
