titulo,localizacion,latitude,longitude,price,energy_certification,room_number,bath_number,has_garden,has_terrace,has_parking,has_swimmingpool,has_lift,constructed_area,is_new_development,is_needs_renovating,is_goog_condition,Price_predict,Var_Prices,%_rentabilidad
47,3,36.6634024,-4.4985914000000005,205000,4,3,1,0.0,1.0,1.0,0.0,0.0,130,0,0,1,251188.22435599566,46188.224355995655,22.530841149266173
33,5,36.65997120000001,-4.503655,1148000,5,6,6,1.0,1.0,1.0,0.0,0.0,650,0,0,1,1271059.296800986,123059.29680098593,10.719450940852433
110,9,36.665484,-4.459338099999999,249900,8,3,1,1.0,1.0,1.0,1.0,1.0,83,0,0,1,220639.5356207788,-29260.4643792212,-11.708869299408244
108,5,36.6598242,-4.5041845,297100,4,3,2,1.0,1.0,1.0,1.0,1.0,118,0,0,1,305845.79388201237,8745.793882012367,2.94372059307047
31,9,36.666543,-4.4609755999999985,779000,7,4,3,1.0,0.0,1.0,1.0,0.0,230,0,0,1,588665.2153823078,-190334.78461769223,-24.43322010496691
60,4,36.6616864,-4.4983251,367000,3,4,3,1.0,1.0,1.0,1.0,0.0,195,0,0,1,472111.53481815755,105111.53481815755,28.64074518205928
79,14,37.1328,-3.66879,129900,7,4,2,0.0,1.0,0.0,0.0,1.0,115,0,0,1,188107.42294444144,58207.42294444144,44.80940950303421
50,14,37.1329055,-3.6706027,179999,7,4,2,1.0,1.0,1.0,1.0,0.0,230,0,0,1,246811.5602954626,66812.56029546261,37.11829526578626
48,3,36.6469253,-4.5018207000000015,182100,7,3,1,0.0,1.0,0.0,0.0,0.0,83,0,1,0,76746.46631966531,-105353.53368033469,-57.854768632803236
112,9,36.6638777,-4.4607722,262181,5,2,1,1.0,0.0,0.0,1.0,1.0,108,0,0,1,195694.88146045804,-66486.11853954196,-25.358862213334284
7,3,36.6507172,-4.4980983,900000,7,6,4,1.0,1.0,1.0,1.0,0.0,384,0,1,0,697705.0800693035,-202294.9199306965,-22.477213325632945
85,3,36.6659889,-4.5149367,182000,7,1,1,1.0,1.0,1.0,1.0,1.0,55,0,0,1,185297.23306676745,3297.233066767454,1.8116665202018978
83,0,36.6597396,-4.5822227999999985,210000,7,1,1,1.0,0.0,0.0,1.0,0.0,65,0,0,1,-50003.39904119074,-260003.39904119074,-123.81114240056704
86,3,36.66014600000001,-4.4978386,235000,7,3,2,1.0,0.0,1.0,1.0,1.0,89,0,0,1,309500.8703312874,74500.87033128738,31.70249801331378
21,5,36.6548086,-4.4900614,790000,3,5,3,1.0,1.0,1.0,1.0,0.0,440,0,0,1,767797.07680206,-22202.923197939992,-2.8104966073341764
21,5,36.653835,-4.491917900000002,790000,6,5,3,1.0,1.0,1.0,1.0,0.0,360,0,0,1,706711.1747675687,-83288.82523243129,-10.542889269928011
47,3,36.6633891,-4.4988999000000005,299990,4,4,3,0.0,0.0,1.0,0.0,0.0,213,0,0,1,506553.96910475194,206563.96910475194,68.85695159997066
85,3,36.6613088,-4.4990457,250000,5,2,1,1.0,1.0,1.0,1.0,1.0,109,0,0,1,248724.51355667412,-1275.4864433258772,-0.5101945773303509
47,3,36.6695723,-4.5186574,320000,0,3,3,0.0,1.0,0.0,1.0,0.0,161,0,0,1,362438.10274514556,42438.10274514556,13.261907107857986
14,13,36.6450558,-4.5901766,550000,7,4,4,1.0,1.0,1.0,1.0,0.0,280,0,0,1,673770.4749563932,123770.47495639324,22.50372271934423
4,5,36.6463857,-4.5002249,639000,4,3,2,1.0,1.0,1.0,0.0,0.0,298,0,0,1,680598.1770679355,41598.17706793547,6.509886865091623
55,4,36.6632566,-4.5192925000000015,330000,7,3,4,1.0,1.0,1.0,1.0,0.0,239,0,0,1,619857.762776047,289857.762776047,87.83568568971121
24,9,36.6675775,-4.4623495,1500000,3,5,6,1.0,1.0,1.0,1.0,0.0,600,0,0,1,1253869.241363898,-246130.75863610208,-16.408717242406805
90,14,37.1311247,-3.6723631,54900,7,1,1,0.0,0.0,1.0,0.0,1.0,53,0,0,1,58273.05405129492,3373.054051294923,6.143996450446125
45,7,36.6955102,-4.5546675,425000,7,4,3,1.0,1.0,1.0,1.0,0.0,230,0,0,1,338158.67715866864,-86841.32284133136,-20.433252433254438
6,3,36.6656448,-4.472338,410000,4,8,4,1.0,1.0,1.0,0.0,0.0,210,0,0,1,726428.3320758492,316428.3320758492,77.17764196971932
7,3,36.6495488,-4.4888463,895000,7,4,4,1.0,1.0,1.0,1.0,0.0,500,0,0,1,1002414.3636948913,107414.36369489133,12.001604882110763
95,12,36.6988581,-4.4476889,249900,8,2,1,0.0,1.0,0.0,0.0,1.0,80,0,0,1,179263.60459017754,-70636.39540982246,-28.26586450973288
93,4,36.6648899,-4.4972496,249000,7,3,2,1.0,1.0,0.0,1.0,1.0,106,0,0,1,291984.23301130533,42984.23301130533,17.262744181247122
85,3,36.6652929,-4.4998666,223000,4,3,2,1.0,1.0,1.0,1.0,1.0,102,0,0,1,326556.995017007,103556.995017007,46.43811435740224
47,3,36.6723596,-4.5069099,235000,7,3,2,1.0,1.0,1.0,1.0,0.0,120,0,0,1,293828.85640865564,58828.85640865564,25.033555918576873
54,4,36.6656226,-4.4995242,298000,4,4,2,0.0,1.0,1.0,1.0,0.0,231,0,0,1,349312.8878775835,51312.887877583504,17.219089891806544
88,1,36.69337,-4.45395,139900,4,3,1,0.0,0.0,0.0,0.0,1.0,76,0,0,1,131096.22825680673,-8803.771743193269,-6.29290331893729
69,4,36.6722374,-4.5054086,172000,8,2,2,0.0,1.0,0.0,0.0,0.0,86,0,0,1,241891.5678561777,69891.56785617769,40.63463247452191
6,3,36.6638147,-4.5058824,5000000,2,11,6,1.0,1.0,1.0,1.0,0.0,1600,0,0,1,1914828.7185269296,-3085171.2814730704,-61.70342562946141
96,8,36.6983376,-4.445587799999998,180000,7,2,1,0.0,0.0,0.0,0.0,1.0,75,0,0,1,143707.24636343122,-36292.753636568785,-20.162640909204878
24,9,36.6674775,-4.4605495,1500000,2,4,5,1.0,1.0,1.0,1.0,0.0,620,0,0,1,1173319.743565753,-326680.2564342469,-21.778683762283126
47,3,36.672398,-4.506826599999999,318500,6,4,2,1.0,1.0,1.0,1.0,0.0,180,0,0,1,322105.8460070342,3605.8460070341825,1.132133754170858
95,8,36.6991275,-4.4459164000000015,160000,7,3,1,0.0,0.0,0.0,0.0,1.0,80,0,0,1,127664.56217503548,-32335.437824964523,-20.209648640602826
71,4,36.6594796,-4.4953536,370000,2,3,3,1.0,1.0,1.0,1.0,0.0,198,0,0,1,481923.30174559355,111923.30174559355,30.249541012322577
65,4,36.6643215,-4.5000073,205000,4,3,1,0.0,1.0,1.0,0.0,0.0,67,0,1,0,5445.985582411289,-199554.0144175887,-97.34342166711644
118,4,36.6620559,-4.5186553,350000,8,3,2,1.0,1.0,1.0,1.0,1.0,123,0,0,1,261568.79482841492,-88431.20517158508,-25.26605862045288
41,5,36.654312,-4.511710400000001,640000,8,4,5,1.0,1.0,1.0,1.0,0.0,300,0,0,1,840459.3724471033,200459.37244710326,31.321776944859884
100,4,36.6607864,-4.503071,157500,7,3,1,1.0,1.0,0.0,1.0,1.0,68,0,0,1,132910.94557347894,-24589.054426521063,-15.612098048584802
39,5,36.6524475,-4.490088,725000,7,5,3,1.0,1.0,1.0,0.0,0.0,278,0,0,1,672840.4365252852,-52159.563474714756,-7.194422548236518
47,3,36.6626183,-4.5026068,299000,4,3,2,0.0,1.0,1.0,0.0,0.0,150,0,0,1,381171.9622429311,82171.96224293113,27.48226161970941
113,9,36.6631287,-4.4561357,430000,0,3,2,0.0,1.0,1.0,0.0,1.0,160,0,0,1,426344.41766265035,-3655.5823373496532,-0.8501354272906171
88,1,36.69729210000001,-4.451121400000001,162000,8,3,1,0.0,1.0,0.0,0.0,1.0,74,0,0,1,153677.3088258952,-8322.69117410481,-5.137463687719018
74,9,36.6676778,-4.4653004,395000,8,4,3,1.0,1.0,1.0,1.0,0.0,194,0,0,1,489765.67742070556,94765.67742070556,23.991310739419127
42,5,36.659266,-4.4937989,860000,8,5,2,1.0,1.0,1.0,0.0,0.0,223,0,0,1,477420.7691844106,-382579.2308155894,-44.48595707158017
38,4,36.66187410000001,-4.495526,360000,2,4,3,1.0,1.0,1.0,1.0,0.0,220,0,0,1,540189.7400185019,180189.74001850188,50.05270556069497
8,3,36.6645775,-4.4600495,1500000,7,4,6,1.0,1.0,1.0,1.0,0.0,630,0,0,1,1339321.245617479,-160678.7543825209,-10.711916958834728
7,3,36.652233,-4.49582,639000,4,3,2,1.0,1.0,1.0,0.0,0.0,298,0,0,1,659883.985744834,20883.985744833946,3.2682293810381764
12,3,36.665476,-4.461655,1500000,2,4,6,1.0,1.0,1.0,1.0,0.0,710,0,0,1,1384582.8885493726,-115417.11145062745,-7.694474096708497
13,3,36.66531129999999,-4.5052488,173000,8,2,1,0.0,1.0,0.0,0.0,0.0,91,0,0,1,264035.9500940293,91035.95009402931,52.621936470537165
6,3,36.6604195,-4.5190936,640000,7,4,2,1.0,1.0,1.0,1.0,0.0,250,0,0,1,482428.7595708072,-157571.24042919278,-24.620506317061373
80,6,36.7143969,-4.4393075,340000,7,3,2,0.0,1.0,1.0,0.0,1.0,76,0,0,1,291107.1115128696,-48892.8884871304,-14.380261319744235
68,4,36.67104000000001,-4.5181699,359000,2,4,3,1.0,1.0,1.0,0.0,0.0,190,0,0,1,448426.52079582214,89426.52079582214,24.909894372095305
5,5,36.6470284,-4.508243299999998,700000,4,3,2,1.0,1.0,1.0,1.0,0.0,455,0,0,1,729479.2582749128,29479.258274912834,4.211322610701833
72,4,36.6611221,-4.4958917000000005,360000,0,4,3,1.0,1.0,1.0,1.0,0.0,220,0,0,1,470173.7585655153,110173.75856551528,30.603821823754245
16,5,36.6538028,-4.493043900000001,700000,8,5,3,1.0,1.0,1.0,1.0,0.0,270,0,0,1,644830.6305499375,-55169.36945006251,-7.881338492866073
73,4,36.667023,-4.5010688,255000,4,3,2,0.0,1.0,1.0,0.0,0.0,178,0,1,0,185992.4602560252,-69007.5397439748,-27.06178029175483
77,3,36.6713789,-4.5070138,310000,8,3,3,0.0,1.0,1.0,0.0,0.0,251,0,0,1,487945.14666332304,177945.14666332304,57.401660213975184
94,4,36.6633929,-4.4986666,240000,6,2,1,1.0,1.0,1.0,1.0,1.0,109,0,0,1,226681.60815504193,-13318.391844958067,-5.549329935399195
25,5,36.6485811,-4.5021544,270000,0,3,2,1.0,1.0,1.0,1.0,0.0,100,0,0,1,402593.0995102525,132593.09951025248,49.10855537416759
101,4,36.66124600000001,-4.5010769,190000,8,3,1,1.0,1.0,0.0,1.0,1.0,77,0,0,1,141002.18492123485,-48997.815078765154,-25.78832372566587
11,3,36.6509694,-4.493461099999998,1975000,3,5,7,1.0,1.0,1.0,1.0,0.0,706,0,0,1,1478401.5791044384,-496598.4208955616,-25.144223842813247
89,1,36.6939299,-4.4588624,260000,3,3,1,1.0,0.0,1.0,0.0,1.0,114,0,0,1,213160.43774594367,-46839.562254056334,-18.01521625156013
99,4,36.6658835,-4.4731468,215000,5,3,2,0.0,1.0,1.0,0.0,1.0,85,0,0,1,356304.0561811328,141304.0561811328,65.72281682843386
28,5,36.65200520000001,-4.498312599999998,449900,7,4,3,0.0,0.0,0.0,0.0,0.0,250,0,0,1,587569.2615195066,137669.26151950657,30.599969219716954
76,4,36.6678521,-4.5026877,85000,7,2,1,0.0,0.0,0.0,0.0,0.0,55,0,1,0,-79792.5603890568,-164792.5603890568,-193.87360045771388
53,4,36.6674941,-4.4980792,298000,7,4,2,0.0,0.0,1.0,1.0,0.0,231,0,0,1,323152.74989157915,25152.74989157915,8.440520097845353
108,5,36.6598242,-4.5041845,291800,6,3,2,1.0,1.0,1.0,1.0,1.0,159,0,0,1,341144.0346508026,49344.03465080261,16.910224349144144
103,9,36.6634751,-4.4611374,262181,4,2,1,1.0,1.0,0.0,1.0,1.0,102,0,0,1,236721.40391245484,-25459.596087545156,-9.710694553588993
114,4,36.67119,-4.5169,255900,8,2,2,0.0,1.0,1.0,1.0,1.0,149,1,0,0,272137.7794623822,16237.779462382197,6.345361259234934
97,4,36.67119,-4.5169,265900,8,3,2,0.0,1.0,1.0,1.0,1.0,119,1,0,0,263722.9379911274,-2177.062008872628,-0.8187521658039218
97,4,36.67119,-4.5169,255900,8,3,2,0.0,1.0,1.0,1.0,1.0,165,1,0,0,300833.48315635324,44933.483156353235,17.559000842654644
