titulo,localizacion,latitude,longitude,price,energy_certification,room_number,bath_number,has_garden,has_terrace,has_parking,has_swimmingpool,has_lift,constructed_area,is_new_development,is_needs_renovating,is_goog_condition,Price_predict,Var_Prices,%_rentabilidad
27,5,36.6457453,-4.5016944,1800000,3,5,5,1.0,1.0,1.0,1.0,0.0,1004,0,0,1,1456610.9094359875,-343389.0905640125,-19.077171698000697
43,4,36.6617978,-4.5131005,422500,4,6,4,1.0,1.0,1.0,1.0,0.0,296,0,0,1,644838.0116326809,222338.0116326809,52.624381451522105
17,5,36.65329910000001,-4.488580000000002,799900,3,6,4,1.0,1.0,1.0,1.0,0.0,380,0,0,1,833730.8459978402,33830.845997840166,4.229384422782869
107,5,36.661331,-4.503368599999999,291800,7,3,2,1.0,1.0,1.0,1.0,1.0,118,0,0,1,307677.2898735106,15877.2898735106,5.441154857268883
107,5,36.659031,-4.5043685999999985,297100,7,3,2,1.0,1.0,1.0,1.0,0.0,116,0,0,1,217868.92566159368,-79231.07433840632,-26.668150231708626
34,9,36.6667599,-4.4617824,698000,4,6,3,1.0,1.0,1.0,1.0,0.0,351,0,0,1,664565.171608597,-33434.82839140296,-4.790090027421628
106,5,36.660194,-4.49976,315000,1,3,2,0.0,1.0,1.0,1.0,1.0,109,1,0,0,294471.91234609485,-20528.087653905153,-6.516853223461953
106,5,36.660194,-4.49976,278000,1,2,2,0.0,1.0,1.0,1.0,1.0,94,1,0,0,301399.63749200106,23399.637492001057,8.417135788489588
106,5,36.660194,-4.49976,319000,1,3,2,0.0,1.0,1.0,1.0,1.0,109,1,0,0,294471.91234609485,-24528.087653905153,-7.689055690879358
108,5,36.6598242,-4.5041845,291800,4,3,2,1.0,1.0,1.0,1.0,1.0,118,0,0,1,305845.79388201237,14045.793882012367,4.813500302266061
64,4,36.6712418,-4.5089442,256500,4,3,1,0.0,1.0,0.0,0.0,0.0,179,0,0,1,183272.40119855106,-73227.59880144894,-28.54877146255319
66,4,36.6698723,-4.5194574,320000,1,3,3,1.0,1.0,1.0,1.0,0.0,140,0,0,1,371229.7316519469,51229.7316519469,16.009291141233405
62,5,36.6617583,-4.5044688,595000,4,4,3,1.0,1.0,1.0,0.0,0.0,226,0,0,1,545833.5756623745,-49166.4243376255,-8.263264594558908
37,4,36.6646899,-4.5194822,640000,8,4,2,1.0,1.0,1.0,1.0,0.0,310,0,0,1,455397.8710337579,-184602.12896624207,-28.844082650975324
82,4,36.66113720000001,-4.5199706,367500,7,3,2,1.0,1.0,1.0,1.0,0.0,123,0,0,1,241003.065481022,-126496.934518978,-34.42093456298721
59,4,36.6625221,-4.4978917,360000,7,4,3,0.0,1.0,1.0,1.0,0.0,202,0,0,1,449585.4720069766,89585.4720069766,24.884853335271277
